policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,atomic_activity_mode,unpermitted_activities,still_queued_at_end,missing_resource_starts,automatic_atomic_transitions,assigned_atomic_starts,max_resource_occupation,arrivals,completed_cases,completion_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours
random,1,,1,43,mdn,0.0,automatic,0,0,0,12826,0,0.0495,683,683,1.0,21.850458066953887,41.603502638240734,0.005747296411999469,0.00694608212656219,0.005747296411999469,0.00694608212656219,1.4504115210448694,1.0,12.928258749118454,0.7159590043923866,0.8367983367983368,0.08865671641791045,0.006854216347684945,0.08865671641791045,0.006854216347684945,0.27739142577852255,0.7226085742214774,1.0,0.0,1.0,12,0,0,98,0,0,142,1,13.786431706666658
random,2,,1,44,mdn,0.0,automatic,0,0,0,10754,0,0.0961,569,569,1.0,22.31789754540668,42.865754229155094,0.010249533090264192,0.01250054345013198,0.010249533090264192,0.01250054345013198,1.8981396195571136,1.0,14.32087098829861,0.7328646748681898,0.8311111111111111,0.07977099236641222,0.010430293145273578,0.07977099236641222,0.010430293145273578,0.2672809504522749,0.7327190495477252,1.0,0.0,1.0,9,0,0,91,0,0,139,4,33.237821145
random,3,,1,45,mdn,0.0,automatic,0,0,0,11328,0,0.1054,627,627,1.0,21.89608613892643,40.51597429943857,0.0070651962353145475,0.008993939694505059,0.0070651962353145475,0.008993939694505059,1.7720898691273292,1.0,15.210861247435039,0.6794258373205742,0.8335435056746532,0.07994289793004997,0.01042003733364259,0.07994289793004997,0.01042003733364259,0.26755874255714196,0.732441257442858,1.0,0.0,1.0,9,0,0,80,0,0,142,1,51.22752199722222
random,4,,1,46,mdn,0.0,automatic,0,0,0,11318,0,0.0974,608,608,1.0,22.468709897673723,42.27898510785011,0.006585182870444803,0.008205985614405713,0.006585182870444803,0.008205985614405713,1.805282480567929,1.0,15.216338319141707,0.7039473684210527,0.8173605655930872,0.07606112054329371,0.006495178526432685,0.07606112054329371,0.006495178526432685,0.27797274653008314,0.7220272534699168,1.0000000000000002,0.0,1.0,11,0,0,73,0,0,141,2,13.759760261944447
piled,1,,1,43,mdn,0.0,automatic,0,0,0,12826,0,0.0545,683,683,1.0,21.860341786197488,41.603502638240734,0.00582543035531014,0.007128982344772863,0.00582543035531014,0.007128982344772863,1.4504115210448694,1.0,12.931087303883444,0.7159590043923866,0.8231622746185853,0.08243727598566308,0.00693131448045509,0.08243727598566308,0.00693131448045509,0.27739142577852255,0.7226085742214774,1.0,0.0,1.0,12,0,0,98,0,0,142,1,14.416640289444437
piled,2,,1,44,mdn,0.0,automatic,0,0,0,10754,0,0.0929,569,569,1.0,22.315388761519802,42.865754229155094,0.010539781400293291,0.012865917913151491,0.010539781400293291,0.012865917913151491,1.8981396195571136,1.0,14.320883555788036,0.7328646748681898,0.8365896980461812,0.061902942300343905,0.01029489403640494,0.061902942300343905,0.01029489403640494,0.2672809504522749,0.7327190495477252,1.0,0.0,1.0,9,0,0,91,0,0,139,4,26.751123315833336
piled,3,,1,45,mdn,0.0,automatic,0,0,0,11328,0,0.1112,627,627,1.0,21.906386958539823,40.51597429943857,0.007314652279785366,0.009539317595715135,0.007314652279785366,0.009539317595715135,1.7720898691273292,1.0,15.210989866942842,0.6794258373205742,0.8361415332771693,0.07788495891389782,0.01064767122718021,0.07788495891389782,0.01064767122718021,0.26755874255714196,0.732441257442858,1.0,0.0,1.0,9,0,0,80,0,0,142,1,47.381414662777786
piled,4,,1,46,mdn,0.0,automatic,0,0,0,11318,0,0.0974,608,608,1.0,22.47601343179912,42.298036839405086,0.006583499279301227,0.008217202354006338,0.006583499279301227,0.008217202354006338,1.805282480567929,1.0,15.21611797865765,0.7039473684210527,0.8010224144710971,0.0717199184228416,0.0065676480100454815,0.0717199184228416,0.0065676480100454815,0.27797274653008314,0.7220272534699168,1.0,0.0,1.0,11,0,0,73,0,0,141,2,12.181488240000002
kbatch5,1,,1,43,mdn,0.0,automatic,0,0,0,12826,0,0.047,683,683,1.0,22.0534192929055,42.5042528999699,0.005508661398657792,0.007702598690735967,0.005508661398657792,0.007702598690735967,1.4566099129401706,1.0,13.023590132922182,0.7159590043923866,0.8299172959367134,0.046182266009852216,0.006179555855780491,0.046182266009852216,0.006179555855780491,0.27316908728263617,0.7268309127173638,1.0,0.0,1.0,12,0,0,188,0,0,142,1,12.744405643611115
kbatch5,2,,1,44,mdn,0.0,automatic,0,0,0,10754,0,0.1111,569,569,1.0,22.473732385770646,42.865754229155094,0.01002406672141929,0.014132622535065475,0.01002406672141929,0.014132622535065475,1.898573820727092,1.0,14.353390363350986,0.7328646748681898,0.8240615106286748,0.04013894249324585,0.009799694045729772,0.04013894249324585,0.009799694045729772,0.2648493057907213,0.7351506942092787,1.0,0.0,1.0,7,0,0,134,0,0,139,4,30.76019135722222
