,occupation,throughput_share,permission_breadth,sole_candidate_contexts,criticality_score
User_129,0.0,0.0,10,0,0.016666666666666666
User_142,0.0,0.0,10,0,0.016666666666666666
User_137,0.0,0.0,10,0,0.016666666666666666
User_136,0.0,0.0,10,0,0.016666666666666666
User_130,0.0,0.0,10,0,0.016666666666666666
User_128,0.0,0.0,10,0,0.016666666666666666
User_127,0.0,0.0,10,0,0.016666666666666666
User_110,0.0,0.0,10,0,0.016666666666666666
User_89,0.0,0.0,10,0,0.016666666666666666
User_103,0.0,0.0,10,0,0.016666666666666666
User_111,0.00105,3.563283922462942e-05,10,0,0.017351214558339236
User_139,0.00105,4.0199388969287666e-05,10,0,0.01738506218880481
User_135,0.0091,7.028394714647174e-05,10,0,0.020831382105597415
User_106,0.0095,0.00010542592071970762,10,0,0.021252022717384855
User_140,0.0111,0.00020234722784297855,10,0,0.02261107318367193
User_114,0.01,0.00028506271379703536,10,0,0.022783711817465236
User_143,0.007,0.0005083343891125055,10,0,0.023237377977421547
User_144,0.011450000000000002,0.0007666374289751012,10,0,0.02693378192050103
User_138,0.020375,0.0005045849392137721,10,0,0.028565120807955365
User_124,0.015625,0.0007702222474169724,10,0,0.028632080332048553
User_64,0.0263,0.0003162777621591229,10,0,0.029541824544871486
User_101,0.01045,0.001182181356412375,10,0,0.029613412850808922
User_141,0.027499999999999997,0.000639824345270907,10,0,0.032420474104745856
User_81,0.0,0.0,11,0,0.03333333333333333
User_94,0.0,0.0,11,0,0.03333333333333333
User_108,0.0,0.0,11,0,0.03333333333333333
User_132,0.0,0.0,11,0,0.03333333333333333
User_6,0.0,0.0,11,0,0.03333333333333333
User_65,0.0,0.0,11,0,0.03333333333333333
User_134,0.055,0.0002697963037906381,10,0,0.0406891752103009
User_82,0.038200000000000005,0.0012925560750335079,10,0,0.04154300092195347
User_93,0.04385,0.0012521792107518055,10,0,0.04350606213660041
User_79,0.08205,0.001752392557928912,11,0,0.079176155643949
User_85,0.09675,0.0014770864092633958,11,0,0.08302164682497541
User_84,0.1106,0.0008606542498684009,11,0,0.08399833314460883
User_69,0.1145,0.0007637883904164657,11,0,0.08484196934575289
User_107,0.1672,0.00024942987457240594,10,0,0.08546464158604158
User_91,0.1079,0.0017629358966552255,11,0,0.0896049994293499
User_92,0.1196,0.0011948271014900196,11,0,0.09007897278804872
User_131,0.1806,0.0006121662515278534,10,0,0.09351881690244322
User_77,0.1145,0.002066704675028506,11,0,0.09449928863384544
User_88,0.1129,0.0022174008166022286,11,0,0.09497559842179124
User_105,0.1537,0.0010542592071970762,11,0,0.10269118160453805
User_20,0.12530000000000002,0.0030159521520768265,11,0,0.10585965516561144
User_76,0.1482,0.0018030396965656875,11,0,0.10603892655255495
User_9,0.173,0.0014965792474344356,11,0,0.11369767856181884
User_73,0.1733,0.001688374336710082,11,0,0.11523940316963868
User_80,0.13805,0.003597446735240219,11,0,0.11527501478749719
User_50,0.132,0.00394894390326639,11,0,0.11545783654279454
User_59,0.14884999999999998,0.0030451809896552707,11,0,0.11550604570689879
User_72,0.1804,0.0021583704303251047,11,0,0.12156598935633695
User_11,0.0,0.0,17,0,0.13333333333333333
User_62,0.1674,0.004651100525481571,11,0,0.1348369244937952
User_86,0.18453333333333333,0.004256274908383419,11,0,0.13877086800571312
User_22,0.2577,0.0003514197357323587,11,0,0.13912471058804912
User_8,0.21775,0.002596748300019036,11,0,0.13977073501552473
User_98,0.2369,0.001781641961231471,11,0,0.14139702542438626
User_31,0.13467500000000002,0.007313234627531306,11,0,0.14146533419109902
User_96,0.2239,0.0032050808765949554,11,0,0.14674228916057191
User_104,0.24464999999999998,0.0034472839677395827,11,0,0.15684610330372425
User_13,0.07385,0.0032487534377922942,16,0,0.17031724217534833
User_102,0.2372,0.005829153082586734,11,0,0.17151762439718304
User_74,0.26105,0.005047601868114898,11,0,0.1752745727365424
User_66,0.1095,0.0033362335145275396,16,0,0.185240402048115
User_97,0.3529,0.0035989167616875713,11,0,0.2013148072670336
User_34,0.14300000000000002,0.004268341149581439,16,0,0.20556311907782593
User_33,0.1488,0.005455182529637132,16,0,0.21668248174029542
User_45,0.16889999999999997,0.0047725168840324125,16,0,0.21967082618971318
User_115,0.353925,0.006768046967443586,11,0,0.2252150769007646
