policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,unpermitted_activities,still_queued_at_end,missing_resource_starts,max_resource_occupation,arrivals,completed_cases,completion_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours
random,1,,1,43,mdn,1.0,0,73,0,0.9848,2038,1386,0.6800785083415113,1.215059541227812,4.352538543587963,0.3582372015685805,0.27987279610600324,0.03722291393375299,0.03389861186226789,0.1428207156698634,0.9710500490677134,0.563341269083917,0.5117762512266928,0.8232763632135798,0.7492693487281256,0.09628132252664645,0.14028874965949334,0.016872316366043506,0.18965258685328668,0.8103474131467133,0.1113485374332961,0.8886514625667039,1.0,12,0,0,31,0,0,129,14,281.59895423888884
random,2,,1,44,mdn,1.0,0,80,0,0.9635,2140,1472,0.6878504672897197,1.2383210772401023,4.729779875731484,0.37245370429379865,0.26158608472699724,0.04167055737141787,0.0405839752928151,0.15781935509235948,0.9742990654205608,0.6640100333303816,0.5112149532710281,0.8050850505268458,0.7282178549869206,0.10140130771303507,0.1260025873221216,0.023468096765390075,0.18758223556910883,0.8124177644308912,0.12443920621151615,0.8755607937884837,1.0,8,0,0,65,0,0,131,12,300.4425723136112
random,3,,1,45,mdn,1.0,0,96,0,1.0,2188,1493,0.6823583180987203,1.1890959790019708,3.975304357886573,0.38226709148671295,0.2623601420118344,0.04496723222320757,0.03997008284023668,0.14917588762400483,0.9716636197440585,0.5765907509386436,0.49954296160877515,0.8168271596260631,0.733720053747583,0.10380221368027695,0.13276123170116103,0.02520839825923138,0.18864131092030476,0.8113586890796952,0.12668629834767905,0.873313701652321,1.0,10,0,0,61,0,0,130,13,325.2925461705556
random,4,,1,46,mdn,1.0,0,58,0,0.962,1910,1357,0.7104712041884816,0.9592055461791568,3.527410322569447,0.3473283262746256,0.26845638400000005,0.03657851547574864,0.03502024959999999,0.146396728125112,0.9738219895287958,0.46646944115328465,0.518848167539267,0.8133849160451482,0.7435687427869402,0.10167802572735839,0.126882966396292,0.027799131603285725,0.1860297152290549,0.8139702847709451,0.1145257399186607,0.8854742600813392,1.0,11,0,0,56,0,0,125,18,327.4015992330556
piled,1,,1,43,mdn,1.0,0,93,0,0.9834,2038,1369,0.6717369970559371,1.295962331740313,4.651653243187457,0.35322700727291845,0.2744417763355567,0.036531229675715426,0.034491424794183045,0.14230149101817346,0.9710500490677134,0.6465766508117777,0.5063788027477919,0.8223476737395367,0.673225350581585,0.09491754182947211,0.13638858397365533,0.016577496833632844,0.18910460251046024,0.8108953974895398,0.11263654357112747,0.8873634564288725,1.0,12,0,0,35,0,0,129,14,253.14194369861113
piled,2,,1,44,mdn,1.0,0,78,0,0.9805,2140,1471,0.6873831775700935,1.2907216374864194,4.695101398292825,0.3687764280463216,0.2642186818949945,0.04339076350014906,0.04107679039683002,0.15631516246039365,0.9733644859813084,0.7256627066633415,0.5107476635514019,0.810898475510866,0.6415322580645161,0.10109969588933755,0.125,0.023203435439458645,0.18722460125364612,0.8127753987463538,0.12728506150079863,0.8727149384992013,1.0,8,0,0,55,0,0,131,12,320.0965416083334
piled,3,,1,45,mdn,1.0,0,104,0,1.0,2188,1485,0.6787020109689214,1.3125331922925085,4.112259158861111,0.3830724965626108,0.2644968402366864,0.04527966003219607,0.042827218934911246,0.14907308475361108,0.9712065813528337,0.6898323098084014,0.49817184643510054,0.8262631245155381,0.6362800170822246,0.10365034179126255,0.12201927955352612,0.025987079524335238,0.1881705764684488,0.8118294235315512,0.12621813483004654,0.8737818651699534,1.0,10,0,0,63,0,0,130,13,322.9759756174999
piled,4,,1,46,mdn,1.0,0,58,0,0.9788,1910,1356,0.7099476439790576,0.9776254952334361,3.573642780656829,0.3480136693757948,0.2726565888,0.03710279177179425,0.0350151552,0.14729421110823318,0.9727748691099476,0.489780017557052,0.518324607329843,0.8153956662277027,0.6622588095060716,0.09986317746309716,0.1179026651216686,0.026784617447627387,0.18612133934409306,0.813878660655907,0.11914700710766583,0.8808529928923342,1.0,11,0,0,57,0,0,125,18,300.3453199133334
kbatch5,1,,1,43,mdn,1.0,0,387,0,0.9792,2038,1206,0.591756624141315,3.0345670292934535,7.663494041507523,0.3445406715777943,0.24931058229673697,0.03385207421441173,0.0365969112433147,0.9286102541640445,0.9313052011776252,2.2180976839374784,0.4656526005888126,0.8928142685645687,0.670348444515078,0.08605467909307257,0.08808109052778748,0.017462545091507794,0.1753654970760234,0.8246345029239766,0.10205585389959163,0.8979441461004084,1.0,12,0,0,371,0,0,129,14,195.85265335222218
kbatch5,2,,1,44,mdn,1.0,0,391,0,0.9932,2140,1287,0.6014018691588785,2.970824611285424,8.0826130144919,0.35240861099815846,0.23742004545189677,0.03957264666820013,0.04221466115028262,0.923153215733884,0.9504672897196261,2.2098082080774906,0.4635514018691589,0.8864146927836677,0.6763553830947762,0.09103153135268904,0.07853910795087266,0.021203049531930702,0.17563134074734593,0.8243686592526541,0.11568788689161616,0.8843121131083838,1.0,7,0,0,371,0,0,131,12,243.44632141972227
kbatch5,3,,1,45,mdn,1.0,0,538,0,0.993,2188,1234,0.5639853747714808,3.1429221680195574,8.837345629302078,0.3389174672538659,0.24485211834319529,0.03849615691040127,0.041546224852071,0.9736481290544752,0.9136197440585009,2.2870226123272825,0.4259597806215722,0.8644122125170286,0.6831135054802155,0.0925310007439567,0.08582703058204538,0.023987061538983168,0.1765920414988738,0.8234079585011262,0.1236747053844138,0.8763252946155863,1.0,11,0,0,412,0,0,130,13,216.9611132177778
kbatch5,4,,1,46,mdn,1.0,0,328,0,0.9869,1910,1199,0.6277486910994764,2.8803620096210283,8.406344642332154,0.3205828873080426,0.2510093312,0.030487846401837344,0.0336047104,0.8497076729451387,0.9549738219895288,2.1025668769151826,0.47277486910994765,0.8529296790166355,0.6802696375232098,0.09372758134183955,0.09566787003610108,0.026593217835955783,0.1730726340049067,0.8269273659950933,0.10733501935332804,0.8926649806466718,1.0,11,0,0,304,0,0,125,18,266.33330799500004
