,occupation,throughput_share,permission_breadth,sole_candidate_contexts,criticality_score
User_89,0.0,0.0,10,0,0.016666666666666666
User_110,0.0,0.0,10,0,0.016666666666666666
User_111,0.002,6.066243377684313e-05,10,0,0.01796399162993299
User_139,0.005366666666666666,4.704012037129522e-05,10,0,0.019202229677513692
User_135,0.0091,1.832978957401569e-05,10,0,0.02046417531710315
User_129,0.0095,0.0002292838182034464,10,0,0.022348042653685545
User_140,0.013333333333333334,0.00011843682898252746,10,0,0.0229790044381619
User_128,0.014633333333333333,0.0001530702098561286,10,0,0.02378307179923705
User_142,0.0193,6.604521266558478e-05,10,0,0.0249427060697148
User_143,0.011825,0.0005797210094297103,10,0,0.02614314845291619
User_141,0.016266666666666665,0.00039162259890778036,10,0,0.02638680585202094
User_107,0.061,0.00016014771696433767,10,0,0.04242705837404775
User_82,0.054575,0.0005520891080236927,10,0,0.04305380648250001
User_134,0.049525,0.0008807801413185122,10,0,0.04371496075277827
User_130,0.06776666666666667,5.498936872204707e-05,10,0,0.04428032919987934
User_106,0.0498,0.0010332006564194429,10,0,0.04507049387339859
User_138,0.059925,0.0007896994031701943,10,0,0.04713967604514227
User_124,0.070425,0.00036880686073577026,10,0,0.047909863737184616
User_101,0.054325,0.0017070613456542248,10,0,0.05238989299881562
User_136,0.09456666666666665,0.00015366198708746933,10,0,0.05582932806325207
User_93,0.06962499999999999,0.001706293944446556,10,0,0.058516655908293636
User_131,0.08795,0.0009109291191266773,10,0,0.05936401330616978
User_144,0.0805,0.0016066627401201752,10,0,0.06206191719669153
User_64,0.1093,0.00031944064509178483,10,0,0.0630896483379371
User_114,0.11080000000000001,0.0004432983685952825,10,0,0.0647028625589371
User_103,0.11733333333333333,0.0002365790007744001,10,0,0.0656328322641802
User_65,0.0779,0.0002830509114239348,11,0,0.0668722584892181
User_69,0.11716666666666666,0.001305162171697987,11,0,0.09096317790381339
User_76,0.1196,0.0013060870242693734,11,0,0.09194614016171979
User_94,0.1245,0.0011674263537265273,11,0,0.09277743518860071
User_132,0.1432,0.00027402622822470153,11,0,0.09297414864931033
User_6,0.1479,0.00027494684361023536,11,0,0.0948656737249802
User_137,0.183375,0.0007273561253228562,10,0,0.09611547790586726
User_91,0.1354,0.001347307712058517,11,0,0.09861637807213688
User_105,0.1523,0.0011098410314757312,11,0,0.1034506346370467
User_127,0.212425,0.000421953151822526,10,0,0.10526503408096183
User_59,0.1638,0.001157461604301762,11,0,0.10844949780163696
User_50,0.12307499999999999,0.0032114288906788958,11,0,0.1089060340692749
User_104,0.15096666666666667,0.0020440596248340265,11,0,0.11054887405766312
User_79,0.16093333333333334,0.0018191888152708502,11,0,0.11270680159468566
User_85,0.13784999999999997,0.0030098538017055104,11,0,0.11318172031943602
User_8,0.18656666666666666,0.0007590021625887013,11,0,0.1143200828877976
User_73,0.17813333333333334,0.0012057533877190187,11,0,0.11458959165448002
User_81,0.1838666666666667,0.0011363504952950337,11,0,0.1163207764747261
User_62,0.13525,0.004118988814422613,11,0,0.12120130795818845
User_84,0.15523333333333333,0.0032319956721275863,11,0,0.12196479393924137
User_98,0.2091,0.0007980062232784253,11,0,0.12367127947113049
User_80,0.16133333333333333,0.0033284627044486924,11,0,0.1251981403589892
User_92,0.16790000000000002,0.003519873498645947,11,0,0.12939425598290422
User_77,0.13205,0.0055972429930086715,11,0,0.1319961444359644
User_86,0.18277500000000002,0.0032715623916338148,11,0,0.13332818701321872
User_9,0.20925,0.0020935988046308215,11,0,0.13431659638306065
User_96,0.174925,0.004007795625197467,11,0,0.13619663819599567
User_88,0.204075,0.0025789215801642873,11,0,0.13620734941840992
User_72,0.22043333333333334,0.0019787572052894693,11,0,0.13786118239735087
User_22,0.2562,0.0005865532663685021,11,0,0.14082379679392493
User_74,0.21127500000000002,0.0032442426175554786,11,0,0.1445292568768363
User_55,0.210575,0.004004129522791316,11,0,0.15045705260970618
User_108,0.294,0.000733998825601879,11,0,0.15718064793963213
User_20,0.192975,0.006034246485317605,11,0,0.15998842619960602
