policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,unpermitted_activities,still_queued_at_end,missing_resource_starts,max_resource_occupation,arrivals,completed_cases,completion_share,cycle_time_days,p95_cycle_days,occupation,fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,resources_evaluated,zero_availability_resources,busy_outside_availability_hours,staffing_scenario
random,1,,1,43,mdn,0,128,0,0.9999,2038,1330,0.6526005888125613,1.5116442210535717,5.7829317672476845,0.4061637524637113,0.30726319331770924,0.14378382661850564,0.971540726202159,0.6838954517034062,0.5039254170755643,0.8134026790391379,0.7150289824708429,0.10825874099872008,129,14,314.4059401122222,baseline
random,2,,1,44,mdn,0,185,0,0.9993,2140,1361,0.6359813084112149,1.6681454825022535,6.804481194814814,0.4020759707302197,0.2843678923139677,0.16376280761457276,0.9724299065420561,0.9063386561448058,0.5,0.8078436985615115,0.7085823012985278,0.11055214798625393,131,12,370.766922898611,baseline
random,3,,1,45,mdn,0,166,0,1.0,2188,1419,0.6485374771480804,1.5859405421289854,6.146023801487265,0.4377380056021611,0.28050908875739644,0.15044960414421055,0.9707495429616088,0.7967055044454766,0.5022851919561243,0.7992156046091906,0.7117128789841928,0.11805955142649859,130,13,334.85422870611114,baseline
random,4,,1,46,mdn,0,117,0,0.9996,1910,1303,0.6821989528795811,1.6078360148101425,6.688813823243047,0.40587083237646826,0.30413486079999996,0.15347086564673168,0.9753926701570681,0.6961248382230393,0.5162303664921466,0.8063672716087358,0.7031480482101097,0.11306047264125728,125,18,335.4500260580555,baseline
random,1,"User_110,User_89",1,43,mdn,0,128,0,0.9999,2038,1330,0.6526005888125613,1.5116442210535717,5.7829317672476845,0.409336906779834,0.30742105712890627,0.14378382661850564,0.971540726202159,0.6838954517034062,0.5039254170755643,0.8134026790391379,0.7150289824708429,0.10887902021742407,128,13,314.4059401122222,remove_low
random,2,"User_110,User_89",1,44,mdn,0,185,0,0.9993,2140,1361,0.6359813084112149,1.6681454825022535,6.804481194814814,0.4020759707302197,0.2843678923139677,0.16376280761457276,0.9724299065420561,0.9063386561448058,0.5,0.8078436985615115,0.7085823012985278,0.11118529590617154,131,10,370.766922898611,remove_low
random,3,"User_110,User_89",1,45,mdn,0,166,0,1.0,2188,1419,0.6485374771480804,1.5859405421289854,6.146023801487265,0.441131323475046,0.2801057148007932,0.15044960414421055,0.9707495429616088,0.7967055044454766,0.5022851919561243,0.7992156046091906,0.7117128789841928,0.11872621270437937,129,12,334.85422870611114,remove_low
random,4,"User_110,User_89",1,46,mdn,0,117,0,0.9996,1910,1303,0.6821989528795811,1.6078360148101425,6.688813823243047,0.40587083237646826,0.30413486079999996,0.15347086564673168,0.9753926701570681,0.6961248382230393,0.5162303664921466,0.8063672716087358,0.7031480482101097,0.11370914456373195,125,16,335.4500260580555,remove_low
random,1,"User_68,User_75",1,43,mdn,0,147,0,1.0,2038,1313,0.6442590775269872,1.6294153923093233,6.11916083332403,0.41836954426006073,0.3299473866947734,0.14365339577874228,0.971540726202159,0.7366987817207958,0.5024533856722276,0.8141979727947549,0.7132815520331776,0.11222317759377895,127,14,315.3245751727779,remove_high
random,2,"User_68,User_75",1,44,mdn,0,196,0,0.9996,2140,1353,0.6322429906542056,1.779135465826875,6.988711702539349,0.4120343226753633,0.29833528033171086,0.16569542175227364,0.9724299065420561,0.9670940571419081,0.49906542056074765,0.8057522919288154,0.7084618479281213,0.1165412952505844,129,12,351.1762443705555,remove_high
random,3,"User_68,User_75",1,45,mdn,0,171,0,1.0,2188,1414,0.6462522851919561,1.7472408368122103,6.606641493012151,0.4477231198011896,0.29442382812499995,0.15156507280517628,0.9707495429616088,0.8732244907512301,0.5022851919561243,0.8038737546157597,0.7066012285890727,0.12174629057682179,128,13,351.83722530166665,remove_high
random,4,"User_68,User_75",1,46,mdn,0,118,0,0.9996,1910,1303,0.6821989528795811,1.6924900130828964,6.814308845098377,0.4166259466990155,0.31811136228435455,0.1528353990069842,0.9753926701570681,0.7301389638382846,0.5162303664921466,0.807442432629839,0.6995539889216603,0.11422336091851124,123,18,355.7265904108334,remove_high
