policy_vs_random,n_pairs,delta_cycle_time_days,delta_cycle_time_days_ci95,delta_completed_within_arrival_window,delta_completed_within_arrival_window_ci95,delta_activity_switch_rate,delta_activity_switch_rate_ci95,delta_time_to_decision_days,delta_time_to_decision_days_ci95
roundrobin,4,-0.00020821471288545723,0.00042997252879548866,0.0,0.0,0.006641974516440795,0.008091725576021721,-1.6798912999327342e-05,2.9596798599135998e-05
shortestqueue,4,-0.0001555130271695404,0.0017074635006196965,0.0,0.0,-0.022326517171311098,0.001897241021822965,-2.5470946401817685e-05,4.426407528271563e-05
piled,4,0.0019754718559257256,0.011230537116066664,0.0,1.299228263625111,-0.006600599108496263,0.005110601894480259,0.0008983000424196419,0.000856809126278391
pullspt,4,-0.003240218919515314,0.005190251860985732,0.0,0.0,-0.07010681796797545,0.005867442874335757,-0.0003107265003681192,0.0017186858289816103
pulllaf,4,-0.004601124189118622,0.008496686900501814,0.5,1.5912231526418539,-0.06189449087271706,0.0025487366060502905,0.0007346269462686905,0.0017574448805686607
parksong,4,-0.002692423014167389,0.0054747372577265505,0.0,0.0,-0.035276629652633736,0.005789710811689704,-4.8681381048076844e-05,0.0017708208371090052
drl,4,0.002459537605932205,0.015287308285625509,0.25,0.7956115763209269,-0.0781739922326299,0.008560878457456024,0.00012598051632828344,0.0009091580174626421
kbatch1,4,0.05912515801887697,0.04274345781778731,-4.25,6.145638092373071,-0.04847884667002417,0.003721542775909079,0.0909672981439873,0.055424429195567296
kbatch5,4,0.08428413042974015,0.06303228823596341,-3.25,2.717530883796015,-0.0688459785275771,0.004445796434513284,0.08651053363198002,0.09457481062447466
kbatch10,4,0.08752205670106239,0.023061179141209254,-3.75,2.3868347289627807,-0.07777850457732069,0.009638765028023603,0.07458653196189857,0.04129776034314978
krm0.5,4,-0.0028481237457711472,0.007248666667626391,0.25,0.7956115763209269,-0.05162046954907687,0.001694512620310672,-0.00010250317020288335,0.0019102261385345173
krm1,4,-0.002848015809938431,0.007248792647871366,0.25,0.7956115763209269,-0.051571513109027356,0.0018240263702512182,-0.00010262589207021833,0.0019098808156907514
krm2,4,-0.0028480750714878766,0.007248723477396859,0.25,0.7956115763209269,-0.05162605063084237,0.0016800314295344757,-0.00010181839857015262,0.0019121533134493418
