policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,atomic_activity_mode,drl_assignments,drl_postponements,unpermitted_activities,still_queued_at_end,missing_resource_starts,automatic_atomic_transitions,assigned_atomic_starts,max_resource_occupation,arrivals,completed_cases,completion_share,completed_within_arrival_window,completion_within_arrival_window_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours
random,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0871,2081,2081,1.0,682,0.3277270543008169,21.12421247748247,39.056016915914356,0.012698399715485455,0.010404510204081634,0.012698399715485455,0.010404510204081634,1.6433895850778983,1.0,14.658002862599126,0.699663623258049,0.8531468531468531,0.15265002190100746,0.029177499380573266,0.15265002190100746,0.029177499380573266,0.22519667284662023,0.7748033271533797,0.9999999999999998,0.0,1.0,11,0,0,236,0,0,140,3,132.9775402777778
random,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1034,2150,2150,1.0,729,0.33906976744186046,20.93528775259197,38.91686899138368,0.014652631448685335,0.013130714285714282,0.014652631448685335,0.013130714285714282,1.533991625512118,1.0,14.044488817191665,0.7120930232558139,0.8567725210628645,0.15084956485702444,0.02224201199549754,0.15084956485702444,0.02224201199549754,0.22039198306002855,0.7796080169399714,1.0,0.0,1.0,11,0,0,278,0,0,140,3,38.967163053888896
random,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.0748,2203,2203,1.0,795,0.36087153881071266,20.748711326145308,38.35488219737037,0.009997568030029649,0.00887331632653061,0.009997568030029649,0.00887331632653061,1.646644087979176,1.0,14.500385182793266,0.7099409895596913,0.8523171987641607,0.13072289156626507,0.020625061465150328,0.13072289156626507,0.020625061465150328,0.22237504634557653,0.7776249536544234,1.0,0.0,1.0,10,0,0,296,0,0,140,3,29.71529638861112
random,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.0567,2077,2077,1.0,695,0.33461723639865193,21.270017920875784,40.197077053071745,0.010064377292287124,0.008718949581886645,0.010064377292287124,0.008718949581886645,1.613072633176741,1.0,14.302059372227985,0.7279730380356283,0.8584221748400853,0.14526224908266783,0.024770078271773865,0.14526224908266783,0.024770078271773865,0.2250303611377437,0.7749696388622563,1.0,0.0,1.0,15,0,0,258,0,0,143,0,59.94560639388888
roundrobin,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0743,2081,2081,1.0,682,0.3277270543008169,21.12361729607491,39.056016915914356,0.012760166800414318,0.010446000000000002,0.012760166800414318,0.010446000000000002,1.6431274855536147,1.0,14.65796043963517,0.699663623258049,0.8716097987751531,0.1553461875547765,0.028813406440684985,0.1553461875547765,0.028813406440684985,0.22516755402442842,0.7748324459755715,1.0,0.0,1.0,11,0,0,237,0,0,140,3,121.87813012277779
roundrobin,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.0864,2150,2150,1.0,729,0.33906976744186046,20.93528776783793,38.91686899138368,0.013990509968288574,0.012338469387755102,0.013990509968288574,0.012338469387755102,1.533991625512118,1.0,14.044480804799981,0.7120930232558139,0.8698659749243407,0.16473029045643153,0.022679275244221066,0.16473029045643153,0.022679275244221066,0.22039198306002855,0.7796080169399714,1.0,0.0,1.0,11,0,0,278,0,0,140,3,41.795256551111095
roundrobin,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.0743,2203,2203,1.0,795,0.36087153881071266,20.7486630923257,38.35488219737037,0.009956357341321729,0.008737673469387756,0.009956357341321729,0.008737673469387756,1.646644087979176,1.0,14.500367793282813,0.7099409895596913,0.8781495249896737,0.1342713567839196,0.0202541991833228,0.1342713567839196,0.0202541991833228,0.22237504634557653,0.7776249536544234,1.0,0.0,1.0,10,0,0,296,0,0,140,3,28.921631359722223
roundrobin,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.0591,2077,2077,1.0,695,0.33461723639865193,21.26982846200545,40.197077053071745,0.009941630786156997,0.009132984498019464,0.009941630786156997,0.009132984498019464,1.613072633176741,1.0,14.302060001442081,0.7279730380356283,0.8657990185619799,0.15170479067760034,0.025121107333677666,0.15170479067760034,0.025121107333677666,0.2250303611377437,0.7749696388622563,1.0,0.0,1.0,15,0,0,258,0,0,143,0,62.37866412388891
shortestqueue,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0938,2081,2081,1.0,682,0.3277270543008169,21.122713437623496,39.056016915914356,0.017214904343492776,0.014338122448979591,0.017214904343492776,0.014338122448979591,1.643389454536086,1.0,14.657947444246881,0.699663623258049,0.8054949847361536,0.1314810763509079,0.02967785616567194,0.1314810763509079,0.02967785616567194,0.22519667284662023,0.7748033271533797,0.9999999999999998,0.0,1.0,11,0,0,236,0,0,140,3,129.55196784444442
shortestqueue,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1452,2150,2150,1.0,729,0.33906976744186046,20.935279385369842,38.91686899138368,0.02169950781246594,0.018610469387755107,0.02169950781246594,0.018610469387755107,1.533991625512118,1.0,14.044454806054512,0.7120930232558139,0.7800561191452623,0.12821043910521956,0.02454380711077451,0.12821043910521956,0.02454380711077451,0.22039198306002855,0.7796080169399714,1.0,0.0,1.0,11,0,0,278,0,0,140,3,36.72838455444445
shortestqueue,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.0646,2203,2203,1.0,795,0.36087153881071266,20.74982925726792,38.35488219737037,0.013247266881117757,0.0107685,0.013247266881117757,0.0107685,1.646644087979176,1.0,14.500361476600233,0.7099409895596913,0.7842246541399959,0.10686254779633729,0.02102687778155637,0.10686254779633729,0.02102687778155637,0.22237504634557653,0.7776249536544234,1.0,0.0,1.0,10,0,0,296,0,0,140,3,32.31707026805556
shortestqueue,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.1166,2077,2077,1.0,695,0.33461723639865193,21.269785344725598,40.197077053071745,0.013674846261890545,0.012043610934520027,0.013674846261890545,0.012043610934520027,1.613072633176741,1.0,14.30207062412481,0.7279730380356283,0.7888675623800384,0.12362459546925567,0.025812736133781548,0.12362459546925567,0.025812736133781548,0.2250303611377437,0.7749696388622563,1.0,0.0,1.0,15,0,0,258,0,0,143,0,68.7769117277778
piled,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0822,2081,2081,1.0,683,0.32820759250360404,21.116770770925722,39.056016915914356,0.013130788888529624,0.010982367346938776,0.013130788888529624,0.010982367346938776,1.643125378846953,1.0,14.659287486373271,0.699663623258049,0.8487687949444324,0.1474164133738602,0.02760498954687907,0.1474164133738602,0.02760498954687907,0.22530342313906737,0.7746965768609326,1.0,0.0,1.0,11,0,0,232,0,0,140,3,100.25875421944444
piled,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1006,2150,2150,1.0,729,0.33906976744186046,20.94405242523978,38.91686899138368,0.014566951554115677,0.012546326530612245,0.014566951554115677,0.012546326530612245,1.533991625512118,1.0,14.045875539509911,0.7120930232558139,0.8382923673997412,0.14040529363110008,0.022733257282552204,0.14040529363110008,0.022733257282552204,0.2204111781361566,0.7795888218638434,1.0,0.0,1.0,11,0,0,277,0,0,140,3,27.771643394722215
piled,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.065,2203,2203,1.0,795,0.36087153881071266,20.749633504064853,38.35488219737037,0.010173345528526246,0.008838,0.010173345528526246,0.008838,1.646644087979176,1.0,14.500623148996073,0.7099409895596913,0.8437886917044986,0.1229903536977492,0.02093133224534954,0.1229903536977492,0.02093133224534954,0.22244944330833902,0.777550556691661,1.0,0.0,1.0,10,0,0,295,0,0,140,3,27.27940449583333
piled,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.0623,2077,2077,1.0,694,0.33413577274915746,21.275674664288882,39.86159953084946,0.010109352056150621,0.008837028705560173,0.010109352056150621,0.008837028705560173,1.613072633176741,1.0,14.302743260102465,0.7279730380356283,0.8392248722316865,0.14227027027027028,0.025093578091798848,0.14227027027027028,0.025093578091798848,0.2250303611377437,0.7749696388622563,1.0,0.0,1.0,15,0,0,258,0,0,143,0,53.66583675166667
pullspt,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0916,2081,2081,1.0,682,0.3277270543008169,21.123689881949097,39.056016915914356,0.010921976053554227,0.012882653061224488,0.010921976053554227,0.012882653061224488,1.6433036875735825,1.0,14.659152414926467,0.699663623258049,0.6708061002178649,0.07771005659555942,0.03339355955621819,0.07771005659555942,0.03339355955621819,0.2252937197825597,0.7747062802174404,1.0,0.0,1.0,11,0,0,233,0,0,140,3,131.54372346111114
pullspt,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1801,2150,2150,1.0,729,0.33906976744186046,20.92733787417696,38.91686899138368,0.012910710896927073,0.016416357142857142,0.012910710896927073,0.016416357142857142,1.53385905407226,1.0,14.043046510615744,0.7120930232558139,0.6363636363636364,0.07988470249124974,0.02829767100303911,0.07988470249124974,0.02829767100303911,0.2204111781361566,0.7795888218638434,1.0000000000000002,0.0,1.0,11,0,0,277,0,0,140,3,35.6839632811111
pullspt,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.0807,2203,2203,1.0,795,0.36087153881071266,20.746895813157504,38.35488219737037,0.008856513086728718,0.011112142857142859,0.008856513086728718,0.011112142857142859,1.6466441529593694,1.0,14.500038485448954,0.7099409895596913,0.6464042860086544,0.06396162302618429,0.02498843131497128,0.06396162302618429,0.02498843131497128,0.22239364692093336,0.7776063530790667,1.0000000000000002,0.0,1.0,10,0,0,294,0,0,140,3,26.83648426222222
pullspt,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.0763,2077,2077,1.0,695,0.33461723639865193,21.26734503213391,40.197077053071745,0.008675875739700701,0.010589231747273704,0.008675875739700701,0.010589231747273704,1.6129530614084486,1.0,14.301455917819405,0.7279730380356283,0.6486371379897785,0.07750107342206956,0.02883719521681955,0.07750107342206956,0.02883719521681955,0.22506998683352722,0.7749300131664728,1.0000000000000002,0.0,1.0,15,0,0,256,0,0,143,0,66.7925837427778
pulllaf,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0996,2081,2081,1.0,683,0.32820759250360404,21.116176957888182,39.056016915914356,0.010866011006074377,0.0128725,0.010866011006074377,0.0128725,1.643306726296068,1.0,14.660147656235125,0.699663623258049,0.6470974808324206,0.08858267716535433,0.03254157516446582,0.08858267716535433,0.03254157516446582,0.22522578948027708,0.774774210519723,0.9999999999999998,0.0,1.0,11,0,0,236,0,0,140,3,123.84853130444445
pulllaf,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1816,2150,2150,1.0,730,0.3395348837209302,20.925248347455746,38.91686899138368,0.01272462843950413,0.015860714285714284,0.01272462843950413,0.015860714285714284,1.53385905407226,1.0,14.044149391203863,0.7120930232558139,0.6146709816612729,0.08873297565002064,0.028234889509587968,0.08873297565002064,0.028234889509587968,0.220363188673438,0.779636811326562,0.9999999999999998,0.0,1.0,11,0,0,279,0,0,140,3,37.790023678055555
pulllaf,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.0818,2203,2203,1.0,796,0.3613254652746255,20.74699643029485,38.35488219737037,0.009076245622676386,0.011024642857142858,0.009076245622676386,0.011024642857142858,1.646644087979176,1.0,14.500471721457053,0.7099409895596913,0.6327753668113246,0.07019655034095468,0.024919301496651686,0.07019655034095468,0.024919301496651686,0.22230063514467185,0.7776993648553282,0.9999999999999998,0.0,1.0,10,0,0,299,0,0,140,3,24.177772759999996
pulllaf,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.08,2077,2077,1.0,694,0.33413577274915746,21.27140324470028,40.197077053071745,0.008806780991905305,0.010918753973299429,0.008806780991905305,0.010918753973299429,1.6129530614084486,1.0,14.303105973701076,0.7279730380356283,0.6289737572007681,0.0843945607597669,0.029062880368723714,0.0843945607597669,0.029062880368723714,0.22496100641796005,0.77503899358204,1.0,0.0,1.0,15,0,0,260,0,0,143,0,63.384338346666674
parksong,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.186,2081,2081,1.0,682,0.3277270543008169,21.123948781878283,39.056016915914356,0.012401850953284315,0.014533612244897959,0.012401850953284315,0.014533612244897959,1.6433018851226706,1.0,14.659601034347867,0.699663623258049,0.6704421694619909,0.11655773420479303,0.034291694384784285,0.11655773420479303,0.034291694384784285,0.22526460825452496,0.774735391745475,1.0,0.0,1.0,11,0,0,234,0,0,140,3,132.48288594527776
