policy,n_replications,cycle_time_days,cycle_time_days_ci95,p95_cycle_days,p95_cycle_days_ci95,occupation,occupation_ci95,fairness,fairness_ci95,w_occupation,w_occupation_ci95,w_fairness,w_fairness_ci95,completed_cases,completed_cases_ci95,completion_share,completion_share_ci95,completed_within_arrival_window,completed_within_arrival_window_ci95,completion_within_arrival_window_share,completion_within_arrival_window_share_ci95,time_to_first_offer_days,time_to_first_offer_days_ci95,first_offer_reach_share,first_offer_reach_share_ci95,time_to_decision_days,time_to_decision_days_ci95,decision_reach_share,decision_reach_share_ci95,case_handover_rate,case_handover_rate_ci95,activity_switch_rate,activity_switch_rate_ci95,rolling_workload_std,rolling_workload_std_ci95,w_activity_switch_rate,w_activity_switch_rate_ci95,w_rolling_workload_std,w_rolling_workload_std_ci95,w_event_share,w_event_share_ci95,ao_event_share,ao_event_share_ci95,w_busy_share,w_busy_share_ci95,ao_busy_share,ao_busy_share_ci95,median_sessions_per_work_item,median_sessions_per_work_item_ci95,max_sessions_per_work_item,max_sessions_per_work_item_ci95,max_session_guard_reached,max_session_guard_reached_ci95,max_session_guard_forced_completions,max_session_guard_forced_completions_ci95,withdrawals,withdrawals_ci95,rare_shortened_work_items,rare_shortened_work_items_ci95,rare_personal_loan_work_items,rare_personal_loan_work_items_ci95
random,4,21.019557369273883,0.36068753647480434,39.131211289435036,1.2292489801909898,0.01185324412162189,0.0035810694968941466,0.010281872599553293,0.003255558324639994,0.01185324412162189,0.0035810694968941466,0.010281872599553293,0.003255558324639994,2127.75,95.99683685399245,1.0,0.0,725.25,80.43025746683438,0.3405713992380105,0.022778769630060744,1.6092744829364833,0.0834053047186609,1.0,0.0,14.37623405870301,0.4213627310215604,0.7124176685272956,0.0186219462656838,0.855164686953491,0.004627897772803135,0.1448711818517412,0.01582123095100771,0.02420366277824875,0.005933529977617709,0.1448711818517412,0.01582123095100771,0.02420366277824875,0.005933529977617709,0.22324851584749225,0.003662466273081403,0.7767514841525077,0.0036624662730813566,1.0,2.039908498826602e-16,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,267.0,41.12626981826002,0.0,0.0,0.0,0.0
roundrobin,4,21.019349154561,0.3604614983535318,39.131211289435036,1.2292489801909898,0.011662166224045405,0.0032476569577191503,0.01016378183879058,0.0025830215315095855,0.011662166224045405,0.0032476569577191503,0.01016378183879058,0.0025830215315095855,2127.75,95.99683685399245,1.0,0.0,725.25,80.43025746683438,0.3405713992380105,0.022778769630060744,1.6092089580554125,0.08331503497453353,1.0,0.0,14.37621725979001,0.42133969473582344,0.7124176685272956,0.0186219462656838,0.8713560793127868,0.00818186938544619,0.151513156368182,0.020267568187783875,0.024216997050476627,0.005811251376597362,0.151513156368182,0.020267568187783875,0.024216997050476627,0.005811251376597362,0.22324123614194427,0.0036494437018306236,0.7767587638580556,0.003649443701830577,1.0,0.0,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,267.25,40.492903704644704,0.0,0.0,0.0,0.0
shortestqueue,4,21.019401856246716,0.35947928700427956,39.131211289435036,1.2292489801909898,0.016459131324741753,0.0062377202624109345,0.01394017569281368,0.005483489000399385,0.016459131324741753,0.0062377202624109345,0.01394017569281368,0.005483489000399385,2127.75,95.99683685399245,1.0,0.0,725.25,80.43025746683438,0.3405713992380105,0.022778769630060744,1.6092744503010303,0.08340525965327876,1.0,0.0,14.376208587756608,0.42134648878696146,0.7124176685272956,0.0186219462656838,0.7896608301003625,0.017746530913661875,0.1225446646804301,0.017408095076332904,0.025265319297946093,0.005682182878241518,0.1225446646804301,0.017408095076332904,0.025265319297946093,0.005682182878241518,0.22324851584749225,0.003662466273081403,0.7767514841525077,0.0036624662730813566,1.0,2.039908498826602e-16,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,267.0,41.12626981826002,0.0,0.0,0.0,0.0
piled,4,21.021532841129808,0.3600419079692736,39.04734190887947,0.9892982826920294,0.011995109506830541,0.003531779958555376,0.010300930645777799,0.0028743988250862114,0.011995109506830541,0.003531779958555376,0.010300930645777799,0.0028743988250862114,2127.75,95.99683685399245,1.0,0.0,725.25,80.30423642130744,0.3405711678763336,0.02266458125905402,1.6092084313787471,0.08331431112154392,1.0,0.0,14.37713235874543,0.42112466496581813,0.7124176685272956,0.0186219462656838,0.8425186815700897,0.007652650477126924,0.13827058274324494,0.01688212297634308,0.024090789291644918,0.0046099953524708385,0.13827058274324494,0.01688212297634308,0.024090789291644918,0.0046099953524708385,0.22329860143032668,0.003683556677087921,0.7767013985696734,0.003683556677087886,1.0,0.0,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,265.5,42.90405045369295,0.0,0.0,0.0,0.0
pullspt,4,21.016317150354368,0.36174708809552464,39.131211289435036,1.2292489801909898,0.01034126894422768,0.003171459460302011,0.012750096202124549,0.0041910198904901875,0.01034126894422768,0.003171459460302011,0.012750096202124549,0.0041910198904901875,2127.75,95.99683685399245,1.0,0.0,725.25,80.43025746683438,0.3405713992380105,0.022778769630060744,1.6091899890034154,0.08347210106712344,1.0,0.0,14.375923332202643,0.42297379188138473,0.7124176685272956,0.0186219462656838,0.6505527901449836,0.023103048970654395,0.07476436388376576,0.011587330341305904,0.028879214272762035,0.005501235598153316,0.07476436388376576,0.011587330341305904,0.028879214272762035,0.005501235598153316,0.2232921329182942,0.0037061373878559426,0.7767078670817058,0.0037061373878558936,1.0,3.5332251627592323e-16,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,265.0,41.999450170775155,0.0,0.0,0.0,0.0
pulllaf,4,21.014956245084765,0.3626926253124044,39.131211289435036,1.2292489801909898,0.01036841651504005,0.0028917310264997475,0.012669152779039143,0.0036742813654546402,0.01036841651504005,0.0028917310264997475,0.012669152779039143,0.0036742813654546402,2127.75,95.99683685399245,1.0,0.0,725.75,81.07824584439042,0.34080092856207933,0.022983415770546786,1.609190732438988,0.08347312462844222,1.0,0.0,14.376968685649281,0.4226664437503866,0.7124176685272956,0.0186219462656838,0.6308793966264465,0.021208983877150558,0.08297669097902413,0.013929770326462977,0.028689661634857297,0.0049812285669675145,0.08297669097902413,0.013929770326462977,0.028689661634857297,0.0049812285669675145,0.22321265492908673,0.0036817343475026238,0.7767873450709133,0.0036817343475026294,0.9999999999999998,2.039908498826602e-16,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,268.5,42.785857252683584,0.0,0.0,0.0,0.0
parksong,4,21.016864946259716,0.36075664503145244,39.131211289435036,1.2292489801909898,0.012241480317274215,0.004302932420343365,0.015059910508572347,0.006014414515473117,0.012241480317274215,0.004302932420343365,0.015059910508572347,0.006014414515473117,2127.75,95.99683685399245,1.0,0.0,725.25,80.43025746683438,0.3405713992380105,0.022778769630060744,1.6091896023458383,0.08347131421882424,1.0,0.0,14.376185377321963,0.42279959163776665,0.7124176685272956,0.0186219462656838,0.6556803067562582,0.016814321319626627,0.10959455219910746,0.01828559265432237,0.02932132843270588,0.0060830208575671394,0.10959455219910746,0.01828559265432237,0.02932132843270588,0.0060830208575671394,0.22328732852490638,0.003682238552804209,0.7767126714750936,0.0036822385528042173,1.0,2.039908498826602e-16,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,265.25,41.72475159055795,0.0,0.0,0.0,0.0
drl,4,21.022016906879813,0.36602108772163905,39.17246696502821,1.2277398818337022,0.010676082731853949,0.0027466137636566134,0.013335805993457094,0.0036777854645220196,0.010676082731853949,0.0027466137636566134,0.013335805993457094,0.0036777854645220196,2127.75,95.99683685399245,1.0,0.0,725.5,81.16278026972435,0.34068488085398874,0.023120494215151742,1.6091844736014171,0.08346602846338394,1.0,0.0,14.376360039219339,0.42191737100900506,0.7124176685272956,0.0186219462656838,0.6511417274123805,0.028734897444354177,0.0666971896191113,0.011693983686298622,0.028692688315958247,0.005669829384598413,0.0666971896191113,0.011693983686298622,0.028692688315958247,0.005669829384598413,0.22328065726558208,0.003729175521421593,0.7767193427344179,0.003729175521421562,1.0,2.039908498826602e-16,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,265.5,43.645175224887325,0.0,0.0,0.0,0.0
kbatch1,4,21.07868252729276,0.39457648318621363,39.488861753444006,1.2285044439503114,0.01122924411799269,0.0033914402375166013,0.013559772982387244,0.003975502942433133,0.01122924411799269,0.0033914402375166013,0.013559772982387244,0.003975502942433133,2127.75,95.99683685399245,1.0,0.0,721.0,85.36433943800547,0.33854374093360795,0.025107638107548316,1.6125164604377586,0.07840862669086524,1.0,0.0,14.467201356846997,0.43916359749860523,0.7125378030779925,0.018346053101685633,0.6813613541434135,0.0038016228282166994,0.09639233518171704,0.015317527398557807,0.02928728503611322,0.006153693908348426,0.09639233518171704,0.015317527398557807,0.02928728503611322,0.006153693908348426,0.21928228438891978,0.004095082227290484,0.7807177156110803,0.004095082227290476,1.0,0.0,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,431.0,50.96884235160311,0.0,0.0,0.0,0.0
kbatch5,4,21.103841499703623,0.4054101546548425,39.49469245053009,1.2932841738204908,0.010995972117314104,0.0035343531007456237,0.012958931957445564,0.00442133287684808,0.010995972117314104,0.0035343531007456237,0.012958931957445564,0.00442133287684808,2127.75,95.99683685399245,1.0,0.0,722.0,82.5086669913068,0.33903056812900406,0.023774141918928647,1.6222898056818589,0.08682184001185678,1.0,0.0,14.46274459233499,0.47289247002037943,0.7125378030779925,0.018346053101685633,0.8155446740493018,0.015031749434780329,0.0760252033241641,0.011451179361574325,0.02650688255413214,0.005453557799882453,0.0760252033241641,0.011451179361574325,0.02650688255413214,0.005453557799882453,0.21861986369067488,0.004070662904899415,0.7813801363093251,0.004070662904899398,1.0,4.079816997653204e-16,0.0,0.0,1.0,0.0,11.75,3.528307858930696,0.0,0.0,0.0,0.0,495.0,52.405785651879846,0.0,0.0,0.0,0.0
