,occupation,throughput_share,permission_breadth,sole_candidate_contexts,criticality_score
User_101,0.0,0.0,10,0,0.016666666666666666
User_103,0.0,0.0,10,0,0.016666666666666666
User_106,0.0,0.0,10,0,0.016666666666666666
User_107,0.0,0.0,10,0,0.016666666666666666
User_110,0.0,0.0,10,0,0.016666666666666666
User_111,0.0,0.0,10,0,0.016666666666666666
User_127,0.0,0.0,10,0,0.016666666666666666
User_128,0.0,0.0,10,0,0.016666666666666666
User_124,0.0,0.0,10,0,0.016666666666666666
User_137,0.0,0.0,10,0,0.016666666666666666
User_138,0.0,0.0,10,0,0.016666666666666666
User_134,0.0,0.0,10,0,0.016666666666666666
User_135,0.0,0.0,10,0,0.016666666666666666
User_131,0.0,0.0,10,0,0.016666666666666666
User_130,0.0,0.0,10,0,0.016666666666666666
User_129,0.0,0.0,10,0,0.016666666666666666
User_136,0.0,0.0,10,0,0.016666666666666666
User_142,0.0,0.0,10,0,0.016666666666666666
User_141,0.0,0.0,10,0,0.016666666666666666
User_143,0.0,0.0,10,0,0.016666666666666666
User_139,0.0,0.0,10,0,0.016666666666666666
User_140,0.0,0.0,10,0,0.016666666666666666
User_64,0.0,0.0,10,0,0.016666666666666666
User_82,0.0,0.0,10,0,0.016666666666666666
User_93,0.0,0.0,10,0,0.016666666666666666
User_89,0.0,0.0,10,0,0.016666666666666666
User_114,2.5e-05,4.978096375945838e-05,10,0,0.017036388226792112
User_144,0.000175,5.12610211195407e-05,10,0,0.017967653181284276
User_105,0.0,4.978096375945838e-05,11,0,0.03354891231157053
User_8,0.000375,0.00010104198487899909,11,0,0.03608303948129411
User_108,0.00065,0.000159509559764269,11,0,0.03803180466858503
User_6,0.0009666666666666666,0.0002676659528907923,11,0,0.040452654096438924
User_72,0.001975,0.0006899070812387421,11,0,0.04849827476834735
User_104,0.00295,0.0006865448998099181,11,0,0.05449527536547143
User_81,0.0036750000000000003,0.0002619347354860092,11,0,0.0571266144745161
User_73,0.003625,0.000407128054236161,11,0,0.05744709631200279
User_55,0.003675,0.0006857480667122464,11,0,0.05896195951424923
User_84,0.0036249999999999998,0.0014131862858014815,11,0,0.06180388230465583
User_85,0.0041,0.0011231069901711213,11,0,0.06347638831749926
User_80,0.0044,0.0012296880287640658,11,0,0.0657876538717079
User_91,0.004775,0.0009035409103253753,11,0,0.06668739602836696
User_97,0.005525,0.0003111246205012619,11,0,0.06874618481612352
User_50,0.00505,0.0012854813674820584,11,0,0.07003697687251154
User_86,0.005749999999999999,0.001229061896040176,11,0,0.07410864179428342
User_98,0.00625,0.0005307875668643491,11,0,0.07416758117634417
User_62,0.006175,0.0012987243388438892,11,0,0.07703074241393146
User_74,0.00625,0.0021143333051784037,11,0,0.0810252059886552
User_79,0.006875,0.0012532746593285529,11,0,0.08114991257377843
User_20,0.006625,0.0018706911035404426,11,0,0.08228223985524158
User_65,0.0082,0.0005293996550224718,11,0,0.08618469214128603
User_31,0.006325000000000001,0.003984284530559801,11,0,0.08958555197610027
User_76,0.0088,0.0007491500259046277,11,0,0.09083575418836151
User_22,0.00975,0.0008277875377075511,11,0,0.0970337160173379
User_77,0.0097,0.0017275689208945788,11,0,0.10062197958575544
User_115,0.00895,0.00304001842200838,11,0,0.10168133099184334
User_132,0.0116,0.00042253430722048453,11,0,0.1066852974911463
User_96,0.010225,0.002606800201414236,11,0,0.10766652927991668
User_126,0.015075000000000002,0.0077515156580236335,9,0,0.1265163070021712
User_59,0.014175,0.0020203151523725694,11,0,0.12948125408719283
User_92,0.015325,0.0006943425323198528,11,0,0.13082962144163385
User_117,0.015224999999999999,0.008551173673868016,9,0,0.1309041219257026
User_54,0.003175,0.0009327754824399327,16,0,0.14028220591217402
User_94,0.017225,0.0006168206444685479,11,0,0.14220874521379562
User_32,0.004675,0.001023352898961367,16,0,0.14992301090321758
User_66,0.004475,0.0024346690820128904,16,0,0.15480164627121173
User_25,0.005475,0.0013965083091310527,16,0,0.156471541877263
User_69,0.01835,0.0027676143971656695,11,0,0.15845928239180002
User_34,0.006075,0.0014535926931735813,16,0,0.160418170651285
User_112,0.017625,0.012120693338415343,9,0,0.16115979500797156
User_88,0.020133333333333333,0.0010156338213070087,11,0,0.16186774618174
User_119,0.02135,0.009053188965552676,9,0,0.17084305706818
User_47,0.005175,0.0022506535800877097,17,0,0.1749874168041507
User_11,0.00555,0.0030146345125737083,17,0,0.18060801355297113
User_33,0.008725,0.0026166872816902236,16,0,0.1817941242005346
User_40,0.005525,0.004273654989946339,17,0,0.18590612274754903
User_23,0.005975,0.004211317430742752,17,0,0.18841073327243518
User_121,0.022175,0.012206188401874794,9,0,0.1895839856027121
User_123,0.02105,0.014282882420050456,9,0,0.1916407977672937
User_102,0.020725,0.007994758372273446,11,0,0.19573923870367116
User_71,0.006425,0.005921212077858746,17,0,0.19859008489079497
User_12,0.00715,0.0053301769718916425,17,0,0.20050071238312633
User_63,0.008249999999999999,0.003877283672963611,17,0,0.20099115816254493
User_125,0.028424999999999995,0.006406441649706414,9,0,0.20300353479129377
User_16,0.0073750000000000005,0.00560041343175461,17,0,0.20305826826050566
User_13,0.0108,0.004788601324816646,16,0,0.20399354197488428
User_56,0.00835,0.004976921790069862,17,0,0.2063697669042579
User_70,0.009099999999999999,0.005049280506599689,17,0,0.21130739743802587
User_51,0.008074999999999999,0.006690712183053081,17,0,0.21209585437212947
User_10,0.006049999999999999,0.009680561165255971,17,0,0.21255799728832084
User_57,0.009174999999999999,0.005396971883135282,17,0,0.2132755202533484
User_19,0.009000000000000001,0.005795167359271459,17,0,0.21392092780431474
User_17,0.0085,0.0065735078970475735,17,0,0.21420871918312834
User_61,0.008875000000000001,0.006097102724398439,17,0,0.2144577612457692
User_60,0.008175,0.007224545719812818,17,0,0.21502421779713024
User_42,0.00835,0.0074493550951794645,17,0,0.21707676422658037
User_113,0.0274,0.011258024284052228,9,0,0.21769371260877685
User_58,0.010949999999999998,0.004103667271161877,17,0,0.2186189226142019
User_36,0.007975,0.008929143690891862,17,0,0.2211729247632569
User_45,0.0128,0.005909663800841557,16,0,0.22117976620864904
User_37,0.009775,0.006368152881402289,17,0,0.22118069059070355
User_41,0.008175,0.00872430063976803,17,0,0.22151898223785946
User_4,0.0082,0.00894924308220826,17,0,0.22264724942966413
User_78,0.011600000000000001,0.004322572587071333,17,0,0.2235746102718068
User_21,0.009425,0.007702063063716288,17,0,0.22479925987102348
User_48,0.01,0.007074059873690072,17,0,0.22562493971657094
User_24,0.012150000000000001,0.004240141066485157,17,0,0.22660877320943562
User_46,0.0098,0.008032614031953688,17,0,0.22854286626502485
User_44,0.00965,0.008429918387795363,17,0,0.22933855735642927
User_15,0.010025000000000001,0.008193405195044223,17,0,0.23062646375612073
User_18,0.009899999999999999,0.008846011494790681,17,0,0.2326818953940271
User_43,0.0113,0.007202654342960152,17,0,0.23419723881986143
