policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,atomic_activity_mode,drl_assignments,drl_postponements,unpermitted_activities,still_queued_at_end,missing_resource_starts,automatic_atomic_transitions,assigned_atomic_starts,max_resource_occupation,arrivals,completed_cases,completion_share,completed_within_arrival_window,completion_within_arrival_window_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours,staffing_scenario
random,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0871,2081,2081,1.0,682,0.3277270543008169,21.12421247748247,39.056016915914356,0.012698399715485455,0.010404510204081634,0.012698399715485455,0.010404510204081634,1.6433895850778983,1.0,14.658002862599126,0.699663623258049,0.8531468531468531,0.15265002190100746,0.029177499380573266,0.15265002190100746,0.029177499380573266,0.22519667284662023,0.7748033271533797,0.9999999999999998,0.0,1.0,11,0,0,236,0,0,140,3,132.9775402777778,baseline
random,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1034,2150,2150,1.0,729,0.33906976744186046,20.93528775259197,38.91686899138368,0.014652631448685335,0.013130714285714282,0.014652631448685335,0.013130714285714282,1.533991625512118,1.0,14.044488817191665,0.7120930232558139,0.8567725210628645,0.15084956485702444,0.02224201199549754,0.15084956485702444,0.02224201199549754,0.22039198306002855,0.7796080169399714,1.0,0.0,1.0,11,0,0,278,0,0,140,3,38.967163053888896,baseline
random,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.0748,2203,2203,1.0,795,0.36087153881071266,20.748711326145308,38.35488219737037,0.009997568030029649,0.00887331632653061,0.009997568030029649,0.00887331632653061,1.646644087979176,1.0,14.500385182793266,0.7099409895596913,0.8523171987641607,0.13072289156626507,0.020625061465150328,0.13072289156626507,0.020625061465150328,0.22237504634557653,0.7776249536544234,1.0,0.0,1.0,10,0,0,296,0,0,140,3,29.71529638861112,baseline
random,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.0567,2077,2077,1.0,695,0.33461723639865193,21.270017920875784,40.197077053071745,0.010064377292287124,0.008718949581886645,0.010064377292287124,0.008718949581886645,1.613072633176741,1.0,14.302059372227985,0.7279730380356283,0.8584221748400853,0.14526224908266783,0.024770078271773865,0.14526224908266783,0.024770078271773865,0.2250303611377437,0.7749696388622563,1.0,0.0,1.0,15,0,0,258,0,0,143,0,59.94560639388888,baseline
random,4000001,"User_101,User_103",1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0871,2081,2081,1.0,682,0.3277270543008169,21.12421247748247,39.056016915914356,0.012882434493970751,0.010413915143877338,0.012882434493970751,0.010413915143877338,1.6433895850778983,1.0,14.658002862599126,0.699663623258049,0.8531468531468531,0.15265002190100746,0.029370759064528205,0.15265002190100746,0.029370759064528205,0.22519667284662023,0.7748033271533797,0.9999999999999998,0.0,1.0,11,0,0,236,0,0,138,3,132.9775402777778,remove_low
random,4000002,"User_101,User_103",1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1034,2150,2150,1.0,729,0.33906976744186046,20.93528775259197,38.91686899138368,0.014864988426202517,0.013191745431632007,0.014864988426202517,0.013191745431632007,1.533991625512118,1.0,14.044488817191665,0.7120930232558139,0.8567725210628645,0.15084956485702444,0.022385703469930227,0.15084956485702444,0.022385703469930227,0.22039198306002855,0.7796080169399714,1.0,0.0,1.0,11,0,0,278,0,0,138,3,38.967163053888896,remove_low
random,4000003,"User_101,User_103",1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.0748,2203,2203,1.0,795,0.36087153881071266,20.748711326145308,38.35488219737037,0.010143727270768631,0.008907120352867046,0.010143727270768631,0.008907120352867046,1.646644087979176,1.0,14.500385182793266,0.7099409895596913,0.8523171987641607,0.13072289156626507,0.02075808932925072,0.13072289156626507,0.02075808932925072,0.22237504634557653,0.7776249536544234,1.0,0.0,1.0,10,0,0,296,0,0,138,3,29.71529638861112,remove_low
random,4000004,"User_101,User_103",1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.0567,2077,2077,1.0,695,0.33461723639865193,21.270017920875784,40.197077053071745,0.010207134417000418,0.008753020471807253,0.010207134417000418,0.008753020471807253,1.613072633176741,1.0,14.302059372227985,0.7279730380356283,0.8584221748400853,0.14526224908266783,0.024931978882366628,0.14526224908266783,0.024931978882366628,0.2250303611377437,0.7749696388622563,1.0,0.0,1.0,15,0,0,258,0,0,141,0,59.94560639388888,remove_low
random,4000001,"User_68,User_75",1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.0888,2081,2081,1.0,682,0.3277270543008169,21.150836113954757,39.17015294956018,0.013814124914697244,0.011631232934257506,0.013814124914697244,0.011631232934257506,1.6431273550118022,1.0,14.658443637893422,0.699663623258049,0.8567378979502834,0.1537615486141663,0.027854646265858787,0.1537615486141663,0.027854646265858787,0.22516755402442842,0.7748324459755715,1.0,0.0,1.0,11,0,0,237,0,0,138,3,105.75090099888891,remove_high
random,4000002,"User_68,User_75",1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.0854,2150,2150,1.0,729,0.33906976744186046,20.96171832770645,38.91686899138368,0.015631957422271133,0.013534404536862003,0.015631957422271133,0.013534404536862003,1.533991625512118,1.0,14.045048071435465,0.7120930232558139,0.8455231930960087,0.1481404529399543,0.022726568595333847,0.1481404529399543,0.022726568595333847,0.22039198306002855,0.7796080169399714,1.0,0.0,1.0,11,0,0,278,0,0,138,3,35.101165708888885,remove_high
random,4000003,"User_68,User_75",1,4000045,mdn,0.0,automatic,0,0,0,0,0,32132,0,0.0787,2203,2203,1.0,796,0.3613254652746255,20.761585376948336,38.409062984112275,0.011144348568183986,0.010246030245746692,0.011144348568183986,0.010246030245746692,1.646644087979176,1.0,14.500452037413208,0.7099409895596913,0.8579979360165119,0.1280290791599354,0.020534209768416335,0.1280290791599354,0.020534209768416335,0.22231923927994737,0.7776807607200527,1.0,0.0,1.0,10,0,0,297,0,0,138,3,26.109699580555553,remove_high
random,4000004,"User_68,User_75",1,4000046,mdn,0.0,automatic,0,0,0,0,0,29943,0,0.0957,2077,2077,1.0,691,0.33269138180067404,21.300692287098823,40.197077053071745,0.010667873151433752,0.010033338363261406,0.010667873151433752,0.010033338363261406,1.613072633176741,1.0,14.303023459676533,0.7279730380356283,0.8601279317697228,0.14967320261437908,0.024188292024994278,0.14967320261437908,0.024188292024994278,0.2250303611377437,0.7749696388622563,0.9999999999999998,0.0,1.0,15,0,0,258,0,0,141,0,65.05435168222223,remove_high
