policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,unpermitted_activities,still_queued_at_end,missing_resource_starts,max_resource_occupation,arrivals,completed_cases,completion_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours
random,1,,1,43,mdn,1.0,0,55,0,0.9854,4371,3074,0.7032715625714939,1.4628033400122893,5.191350737071177,0.36127744947682977,0.27355058163265306,0.03975174850383034,0.03599571428571429,0.15746754215646352,0.9734614504690002,0.6551030053688299,0.5156714710592541,0.8213205290558604,0.7303278822701305,0.10584028802764227,0.1275601868487244,0.021011844413838025,0.19315860357429293,0.8068413964257071,0.11675156565545247,0.8832484343445477,1.0,12,0,0,119,0,0,140,3,588.8083581705555
random,2,,1,44,mdn,1.0,0,149,0,0.9635,4296,2957,0.6883147113594041,1.4701276485228632,5.444648863458325,0.364614338222035,0.2640476370510397,0.04181663400889024,0.0382048309178744,0.17288239117417054,0.9776536312849162,0.6440728682752962,0.5011638733705773,0.8136393489181177,0.7232663856517068,0.10645662435278552,0.11539396887159534,0.023803151582037958,0.1923073982614812,0.8076926017385189,0.12091754111431906,0.8790824588856808,1.0,9,0,0,142,0,0,138,5,609.6171600552777
random,3,,1,45,mdn,1.0,0,92,0,0.9979,4526,3177,0.7019443216968626,1.5286030394836658,5.61027970769906,0.3819700332901925,0.267482305929991,0.041876797747764816,0.03632455644946454,0.15925533596120978,0.9743703049049933,0.7311861617152178,0.5103844454264251,0.8109322477660851,0.724709471466088,0.10555209371017402,0.12260265913636899,0.023019657522431028,0.19073993312981538,0.8092600668701846,0.11586725890433018,0.8841327410956699,1.0,12,0,0,139,0,0,137,6,612.0786852538889
random,4,,1,46,mdn,1.0,0,118,0,0.9806,4297,3003,0.6988596695368862,1.5322889758350637,5.728226474976854,0.3785717199721478,0.2732278512917455,0.04119876505905904,0.03743102289434992,0.1627881607163253,0.97556434721899,0.7188918139852427,0.5005818012566907,0.8156442312778825,0.7202773077491745,0.11132326097117153,0.1210112911143839,0.029916989012390934,0.19009452255842071,0.8099054774415793,0.11964497439299099,0.880355025607009,1.0,11,0,0,120,0,0,138,5,708.8014073591667
piled,1,,1,43,mdn,1.0,0,99,0,0.9847,4371,3038,0.6950354609929078,1.5676632485490996,5.71065952589757,0.35730699368645247,0.273120918367347,0.03818258664196772,0.03450674489795918,0.15725424664448936,0.9736902310684054,0.7468463717873968,0.5094943948753146,0.8232837933474876,0.6417460866130068,0.10497455537743838,0.12679628064243448,0.021281276183554458,0.192381764343186,0.807618235656814,0.11699346745993022,0.8830065325400699,1.0,12,0,0,118,0,0,140,3,584.4274288311112
piled,2,,1,44,mdn,1.0,0,155,0,0.9718,4296,2954,0.6876163873370578,1.5508573199454407,5.299186910460637,0.36298073238772266,0.2662524889729048,0.041530496930875724,0.03792304137786179,0.17201062219602753,0.9771880819366853,0.7215691717671908,0.5,0.8198560127988623,0.6241827360754779,0.1064567873577196,0.11395490554539915,0.023489885361973894,0.1920682923094591,0.8079317076905409,0.12242419293248809,0.8775758070675119,1.0,9,0,0,132,0,0,138,5,629.3475055908334
piled,3,,1,45,mdn,1.0,0,123,0,1.0,4526,3143,0.6944321696862572,1.637039932255961,5.680000417629609,0.38013707172238453,0.2660352283019873,0.04211082649323511,0.03747774521817891,0.15922688594234222,0.9743703049049933,0.8243118164389855,0.5046398585947857,0.8205811014807401,0.6225709189069727,0.10544375088941035,0.11703511053315994,0.02434363952400485,0.1906242019627157,0.8093757980372843,0.1157424397339412,0.8842575602660587,1.0,12,0,0,142,0,0,137,6,616.6129071066669
piled,4,,1,46,mdn,1.0,0,123,0,0.9797,4297,2994,0.6967651850127996,1.6034559241199067,5.802686754093171,0.3804671048249941,0.27760872715816004,0.04227728677159591,0.038867254778407904,0.16337082048623813,0.97556434721899,0.8070515353611262,0.4994181987433093,0.8157722801998906,0.6175256205688342,0.11077104786024151,0.11331444759206799,0.029319961871758494,0.18992401516651186,0.8100759848334882,0.12241869504957789,0.8775813049504221,1.0,11,0,0,118,0,0,138,5,679.1643840408333
kbatch5,1,,1,43,mdn,1.0,0,1092,0,0.9792,4371,2559,0.5854495538778312,6.288841758994643,16.91194759479861,0.3247367131841605,0.23824603061224492,0.02897420371290658,0.030956040816326538,2.0130342072922263,0.9132921528254404,4.776695558833163,0.4518416838252116,0.9080921105975838,0.6647776156809936,0.09108618599709677,0.08710445729840081,0.01787425447563945,0.17266490129995185,0.8273350987000482,0.10132229426845311,0.8986777057315468,1.0,12,0,0,1126,0,0,140,3,399.9808816633333
kbatch5,2,,1,44,mdn,1.0,0,901,0,0.9935,4296,2643,0.6152234636871509,5.870362806045542,16.542485225405112,0.3423513936969718,0.2483259609325772,0.03394085252701993,0.036903906742281035,1.7962242076526205,0.9115456238361266,4.4032913574378,0.47090316573556795,0.9012978753006181,0.6648025166025865,0.09932158293703074,0.07557949722494287,0.021755031825222627,0.17557619655338533,0.8244238034466147,0.10783766039825937,0.8921623396017406,1.0,9,0,0,1071,0,0,138,5,474.19655848972224
