policy_vs_random,n_pairs,delta_cycle_time_days,delta_cycle_time_days_ci95,delta_completed_cases,delta_completed_cases_ci95,delta_activity_switch_rate,delta_activity_switch_rate_ci95,delta_time_to_decision_days,delta_time_to_decision_days_ci95
roundrobin,4,-0.0001986891959728787,0.0030543576541090184,-0.25,0.7956115763209269,0.007895116193636673,0.005714958956470878,-5.260884785645778e-05,0.00017454756879392325
shortestqueue,4,-0.0013511558174834903,0.0028113283171491516,0.0,0.0,-0.021361584798961192,0.006487644374044255,-1.2174264796455808e-05,3.0412279635833003e-05
piled,4,-0.008510802985876809,0.016286950196508422,-0.5,1.5912231526418539,-0.0016730260851707188,0.0032055258697430075,8.860440799328059e-05,0.00021985589132407176
pullspt,4,-0.0032281249727585115,0.006477819173535408,-0.25,1.5234801808288123,-0.06122805260821128,0.0047983055183514,-0.0003033304677004939,0.0003185981097647127
pulllaf,4,-0.00017987150745008007,0.01722855828618273,2.25,3.012136813856149,-0.06032722273299901,0.005577288787040923,-0.000258810767126947,0.00024148448302259998
parksong,4,-0.005142326306684736,0.006109290258658403,0.75,1.5234801808288123,-0.021361762693771068,0.014770367982710326,-0.00014436022241657437,0.000641591245614414
drl,4,0.0013916795295109696,0.00507079913845078,0.25,0.7956115763209269,-0.07167299329593904,0.007436510881952454,0.00015470111729240163,0.0007743652942909874
kbatch1,4,0.07527120520534722,0.05154273492549956,115.25,27.90695736053011,-0.03760423438144734,0.008536235084334001,0.05613658011362747,0.014427470362532563
kbatch5,4,0.0697696303404847,0.025250875322352654,120.0,21.50605445437716,-0.06069862207893818,0.005169719696361498,0.039194435426222154,0.010354543164611056
kbatch10,4,0.11702148551054956,0.03535289929270807,131.5,15.832470465118341,-0.0712383471506546,0.01038282984672942,0.03673011366405305,0.008345771577896902
krm0.5,4,-0.0019232911040958922,0.006901697476636363,0.0,2.2503293632281833,-0.041076030836339004,0.009189629429646321,-0.00025106269758376834,0.00011910937920485747
krm1,4,-0.0019232911040958922,0.006901697476636363,0.0,2.2503293632281833,-0.041076030836339004,0.009189629429646321,-0.00025106269758376834,0.00011910937920485747
krm2,4,-0.0019232911040958922,0.006901697476636363,0.0,2.2503293632281833,-0.041076030836339004,0.009189629429646321,-0.00025106269758376834,0.00011910937920485747
