policy,n_replications,cycle_time_days,cycle_time_days_ci95,p95_cycle_days,p95_cycle_days_ci95,occupation,occupation_ci95,fairness,fairness_ci95,w_occupation,w_occupation_ci95,w_fairness,w_fairness_ci95,completed_cases,completed_cases_ci95,completion_share,completion_share_ci95,time_to_first_offer_days,time_to_first_offer_days_ci95,first_offer_reach_share,first_offer_reach_share_ci95,time_to_decision_days,time_to_decision_days_ci95,decision_reach_share,decision_reach_share_ci95,case_handover_rate,case_handover_rate_ci95,activity_switch_rate,activity_switch_rate_ci95,rolling_workload_std,rolling_workload_std_ci95,w_activity_switch_rate,w_activity_switch_rate_ci95,w_rolling_workload_std,w_rolling_workload_std_ci95,w_event_share,w_event_share_ci95,ao_event_share,ao_event_share_ci95,w_busy_share,w_busy_share_ci95,ao_busy_share,ao_busy_share_ci95,median_sessions_per_work_item,median_sessions_per_work_item_ci95,max_sessions_per_work_item,max_sessions_per_work_item_ci95,max_session_guard_reached,max_session_guard_reached_ci95,max_session_guard_forced_completions,max_session_guard_forced_completions_ci95,withdrawals,withdrawals_ci95,rare_shortened_work_items,rare_shortened_work_items_ci95,rare_personal_loan_work_items,rare_personal_loan_work_items_ci95
random,4,0.6978496841968452,0.01805361141135144,3.2767380433725304,0.6356316857758952,0.04175996698496439,0.0037116415264706135,0.038312621745184024,0.0035668113770679815,0.04175996698496439,0.0037116415264706135,0.038312621745184024,0.0035668113770679815,3219.75,173.45244738395803,0.7403400132990476,0.016679376016644463,9.671253942702008e-05,2.1090150086837313e-05,0.9765472613420888,0.004537146745333469,0.13327590067385592,0.019699821661785587,0.5313591070841227,0.02199205711091904,0.8135097600429335,0.03227806732534329,0.13169963722672035,0.016229800137249017,0.02527003004347301,0.004743601391180532,0.13169963722672035,0.016229800137249017,0.02527003004347301,0.004743601391180532,0.1937106835199373,0.003917515740723734,0.8062893164800626,0.003917515740723726,1.0,1.019954249413301e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,319.0,22.615530206999416,0.0,0.0,0.0,0.0
roundrobin,4,0.6976509950008725,0.017658221162606135,3.263947443516633,0.6135803622199238,0.04120410448778602,0.003872135634162641,0.038305659217562654,0.0037759353868129786,0.04120410448778602,0.003872135634162641,0.038305659217562654,0.0037759353868129786,3219.5,173.7399037455817,0.7402819951973998,0.01675957871514606,9.671253942702008e-05,2.1090150086837313e-05,0.9765472613420888,0.004537146745333469,0.13322329182599946,0.01979344919677256,0.5313591070841227,0.02199205711091904,0.830345698394483,0.03532063511130097,0.13959475342035702,0.016626734561673188,0.025123194756104028,0.004582015887486535,0.13959475342035702,0.016626734561673188,0.025123194756104028,0.004582015887486535,0.19368959592718316,0.0038988139834882163,0.8063104040728167,0.003898813983488162,1.0,2.280687035627916e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,319.0,22.615530206999416,0.0,0.0,0.0,0.0
shortestqueue,4,0.6964985283793618,0.016987220529548003,3.2533329949524004,0.6017995422435174,0.06240503590192256,0.0034537298069105067,0.05618084592360953,0.0035141827099451043,0.06240503590192256,0.0034537298069105067,0.05618084592360953,0.0035141827099451043,3219.75,173.45244738395803,0.7403400132990476,0.016679376016644463,9.671253942702008e-05,2.1090150086837313e-05,0.9765472613420888,0.004537146745333469,0.13326372640905945,0.019716460199388476,0.5313591070841227,0.02199205711091904,0.7128775821543923,0.01915661868019467,0.11033805242775915,0.011581539783349944,0.026119222205446227,0.004449555108970939,0.11033805242775915,0.011581539783349944,0.026119222205446227,0.004449555108970939,0.1937239542398742,0.0039042737799733205,0.8062760457601258,0.0039042737799733344,1.0,2.280687035627916e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,319.25,23.36354181078129,0.0,0.0,0.0,0.0
piled,4,0.6893388812109684,0.029047519197315512,3.267942991178229,0.6728889552518674,0.041427292521760674,0.0040406781136961166,0.038534427343281816,0.004261683431463748,0.041427292521760674,0.0040406781136961166,0.038534427343281816,0.004261683431463748,3219.25,174.0305226077426,0.7402239770957522,0.01684142382931617,9.669870915041271e-05,2.108971043158483e-05,0.9765472613420888,0.004537146745333469,0.1333645050818492,0.019582429352084495,0.5313591070841227,0.02199205711091904,0.7880353077386675,0.03423517037705799,0.13002661114154962,0.014974891376169098,0.025119820783049533,0.0046486412213615335,0.13002661114154962,0.014974891376169098,0.025119820783049533,0.0046486412213615335,0.1936597109497716,0.0039549352710181816,0.8063402890502284,0.003954935271018191,1.0,1.019954249413301e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,319.75,22.666786239012385,0.0,0.0,0.0,0.0
pullspt,4,0.6946215592240867,0.019440745626993067,3.2585419244186853,0.6072880203137483,0.036560914735771936,0.0030424787648138845,0.04981792825871413,0.0034729777474242687,0.036560914735771936,0.0030424787648138845,0.04981792825871413,0.0034729777474242687,3219.5,174.81984107528388,0.740277511165039,0.016664056502650113,9.669870915041271e-05,2.108971043158483e-05,0.9765472613420888,0.004537146745333469,0.1329725702061554,0.019964337542724666,0.5312415509972406,0.021953794812964278,0.5489213055536826,0.035828262577828715,0.07047158461850905,0.012709310401724246,0.02926955045476275,0.004058845921040786,0.07047158461850905,0.012709310401724246,0.02926955045476275,0.004058845921040786,0.19375136091087816,0.003934519809770037,0.8062486390891218,0.003934519809770037,1.0,3.059862748239903e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,317.5,22.522038569836376,0.0,0.0,0.0,0.0
pulllaf,4,0.6976698126893952,0.02781301756852519,3.4019561817990343,0.7158898983026272,0.036519515540273315,0.0035957907159114154,0.050087295128932584,0.003872945958863715,0.036519515540273315,0.0035957907159114154,0.050087295128932584,0.003872945958863715,3222.0,176.34600918168164,0.7408483549520386,0.01682154196976544,9.673274911478016e-05,2.1090957698571793e-05,0.9765472613420888,0.004537146745333469,0.13301708990672895,0.0196599110137068,0.5312995690988882,0.02183598769168363,0.5130493739043744,0.031330841032541024,0.07137241449372134,0.0117499419146847,0.029572192991330258,0.004500571719162242,0.07137241449372134,0.0117499419146847,0.029572192991330258,0.004500571719162242,0.1938543234864177,0.004088720150008605,0.8061456765135824,0.0040887201500086285,1.0,0.0,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,320.0,24.271586974687292,0.0,0.0,0.0,0.0
parksong,4,0.6927073578901605,0.019662371083472782,3.2853320555538077,0.686677992265914,0.04170008804960211,0.003398254481086054,0.056387830669521355,0.003687852284619502,0.04170008804960211,0.003398254481086054,0.056387830669521355,0.003687852284619502,3220.5,174.81984107528388,0.7405076189048873,0.016665964930869696,9.695215554322281e-05,2.114860201967788e-05,0.9767788889655238,0.004598429193359189,0.13313154045143935,0.019905305527648434,0.5314121207518541,0.02180082112842886,0.5391774596262409,0.03155589651191943,0.11033787453294927,0.011929790042677245,0.030145213093802265,0.004805403619601684,0.11033787453294927,0.011929790042677245,0.030145213093802265,0.004805403619601684,0.19370950926394223,0.0039810105557288745,0.8062904907360577,0.003981010555728948,1.0,2.8848662650407217e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,320.0,20.828213529191512,0.0,0.0,0.0,0.0
drl,4,0.6992413637263561,0.0205476742258812,3.2896873658013552,0.6509154792083741,0.03674803052453623,0.0044848922696431245,0.05021164062794846,0.003839137948391625,0.03674803052453623,0.0044848922696431245,0.05021164062794846,0.003839137948391625,3220.0,173.16816927197164,0.7403980314006953,0.01660083953855863,9.669870915041271e-05,2.108971043158483e-05,0.9765472613420888,0.004537146745333469,0.1334306017911483,0.01929456596261568,0.5313591070841227,0.02199205711091904,0.5618670556289493,0.032210640392288,0.060026643930781304,0.009332738165168868,0.0293909387915679,0.004294982098547604,0.060026643930781304,0.009332738165168868,0.0293909387915679,0.004294982098547604,0.1937478317168057,0.004031720433489754,0.8062521682831942,0.004031720433489774,1.0,1.019954249413301e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,319.75,25.89916307408981,0.0,0.0,0.0,0.0
kbatch1,4,0.7731208894021924,0.04659989471572134,3.612414100666811,0.6736233969319404,0.042696655721479244,0.005588714252577314,0.05626701439586303,0.005651215850304651,0.042696655721479244,0.005588714252577314,0.05626701439586303,0.005651215850304651,3335.0,197.62368039319247,0.7668076515026979,0.02180981854233407,9.176219520088846e-05,1.2876249943613627e-05,0.9850622471984999,0.004474397641180879,0.1894124807874834,0.008895365329003172,0.552164558590251,0.024485989676158348,0.589440575174218,0.016787703449348268,0.09409540284527301,0.016748481104995057,0.03147059185419539,0.005435010809943019,0.09409540284527301,0.016748481104995057,0.03147059185419539,0.005435010809943019,0.19130558236373593,0.003404000198161439,0.808694417636264,0.0034040001981614555,1.0,1.019954249413301e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,680.5,73.68468607210025,0.0,0.0,0.0,0.0
kbatch5,4,0.76761931453733,0.029141466146501673,3.647679034056996,0.5245158648799375,0.04234912701275887,0.005248471559580012,0.05420857058937928,0.005064804792371418,0.04234912701275887,0.005248471559580012,0.05420857058937928,0.005064804792371418,3339.75,181.70799988494113,0.7679130375964901,0.015226485906007487,8.649788499379851e-05,8.249942298109204e-06,0.9934376207911885,0.0012511232153826172,0.17247033610007806,0.021804225234972482,0.5521136702451347,0.01856760587582738,0.7729690362710073,0.022803805002731697,0.07100101514778216,0.01160584648788724,0.02832039695523666,0.005684023082217758,0.07100101514778216,0.01160584648788724,0.02832039695523666,0.005684023082217758,0.1908732446614021,0.003223572961715098,0.8091267553385979,0.003223572961715119,1.0,2.280687035627916e-16,0.0,0.0,1.0,0.0,11.0,1.299228263625111,0.0,0.0,0.0,0.0,780.5,39.52516314915914,0.0,0.0,0.0,0.0
