,occupation,throughput_share,w_occupation,w_throughput_share,permission_breadth,sole_candidate_contexts,all_activity_score,fitted_work_score,criticality_score
User_110,0.0,0.0,0.0,0.0,10,0,0.016666666666666666,0.016666666666666666,0.016666666666666666
User_89,0.00325,3.220641551797118e-05,0.0,0.0,10,0,0.018301674762525724,0.016666666666666666,0.018301674762525724
User_142,0.0042,9.341254717333632e-06,0.0,0.0,10,0,0.018493087311556407,0.016666666666666666,0.018493087311556407
User_140,0.0070750000000000006,5.550019158807678e-05,0.0,0.0,10,0,0.020096268318538127,0.016666666666666666,0.020096268318538127
User_135,0.0029,4.4417596475019545e-06,0.0029,2.953686200378072e-05,10,0,0.01790994216846587,0.020769450822645835,0.020769450822645835
User_141,0.007699999999999999,0.00017106171039180608,0.0,0.0,10,0,0.021381447994361452,0.016666666666666666,0.021381447994361452
User_124,0.010925,0.0003473974618979502,0.0,0.0,10,0,0.024285376481526448,0.016666666666666666,0.024285376481526448
User_82,0.016575,0.00020662864627665582,0.0,0.0,10,0,0.02538133857366534,0.016666666666666666,0.02538133857366534
User_64,0.016625,0.00028434567868990503,0.0,0.0,10,0,0.02609191445623915,0.016666666666666666,0.02609191445623915
User_138,0.01755,0.0005570220886854912,0.0,0.0,10,0,0.028896189141790332,0.016666666666666666,0.028896189141790332
User_143,0.022675,0.0005246074390118992,0.00015,6.0871682493304114e-05,10,0,0.030735969234211187,0.01711162897454564,0.030735969234211187
User_106,0.02225,0.0006821907263482158,0.0,3.0435841246652057e-05,10,0,0.03195825918770041,0.01678603732052023,0.03195825918770041
User_131,0.03125,0.000641557972023783,0.0,0.0,10,0,0.03533368801695204,0.016666666666666666,0.03533368801695204
User_114,0.035875000000000004,0.0004408953063291917,0.0,0.0,10,0,0.03547253083257293,0.016666666666666666,0.03547253083257293
User_101,0.0174,0.0013182616531824613,0.000225,3.0435841246652057e-05,10,0,0.03559071733167474,0.017095368820778004,0.03559071733167474
User_136,0.05306666666666667,5.5928651562915394e-05,0.0020666666666666667,3.0435841246652057e-05,10,0,0.039192167621799216,0.01962730443399906,0.039192167621799216
User_139,0.051175,0.0001973779579757932,0.0,0.0,10,0,0.039662407839294575,0.016666666666666666,0.039662407839294575
User_130,0.054675,0.00010893037893742823,0.0,0.0,10,0,0.04033026589498305,0.016666666666666666,0.04033026589498305
User_134,0.053849999999999995,0.0007223221034183566,0.000275,9.130752373995617e-05,10,0,0.045432283544121155,0.017402850461875743,0.045432283544121155
User_137,0.063725,0.0003477549019494557,0.0,0.0,10,0,0.04620692601312905,0.016666666666666666,0.04620692601312905
User_129,0.06595000000000001,0.0003781375533081921,0.0005,6.0871682493304114e-05,10,0,0.04740024750346292,0.017592811308279957,0.04740024750346292
User_93,0.041100000000000005,0.0019308297823024349,0.0,0.0,10,0,0.050866261698939014,0.016666666666666666,0.050866261698939014
User_144,0.04865,0.001604878304152197,0.0,0.0,10,0,0.05110726369510803,0.016666666666666666,0.05110726369510803
User_111,0.1053,2.7725840118353353e-05,0.0,0.0,10,0,0.06062497998269617,0.016666666666666666,0.06062497998269617
User_128,0.117975,0.0005872485337871217,0.0,0.0,10,0,0.07085298416488733,0.016666666666666666,0.07085298416488733
User_127,0.159025,0.00045601433086539305,0.0,0.0,10,0,0.08672885131103261,0.016666666666666666,0.08672885131103261
User_107,0.1631,0.0002668793709177405,0.0,0.0,10,0,0.08674169813088987,0.016666666666666666,0.08674169813088987
User_103,0.170825,0.0003076092141896438,0.0,0.0,10,0,0.09031002601596272,0.016666666666666666,0.09031002601596272
User_108,0.11966666666666669,0.0011337670691642736,0.009433333333333334,0.0007218152598318429,11,0,0.09307281968846795,0.04913333281153539,0.09307281968846795
User_105,0.130675,0.0008081519866988783,0.0287,0.0005137001275167158,11,0,0.094752433558506,0.07480503827936097,0.094752433558506
User_76,0.11837500000000001,0.0014908024672996064,0.022875,0.0009968529738028126,11,0,0.09570568413015973,0.06869173529299383,0.09570568413015973
User_6,0.1689333333333333,0.0004396820667455141,0.022866666666666664,0.0003016214836830439,11,0,0.10736370707774329,0.06595355132564898,0.10736370707774329
User_94,0.16079999999999997,0.000828689865159713,0.03183333333333333,0.00048083167834866807,11,0,0.10744024200596336,0.07898385439372164,0.10744024200596336
User_104,0.1429,0.0017245759698543755,0.0363,0.0011390359597588501,11,0,0.10796150514633138,0.08770616247984439,0.10796150514633138
User_62,0.108375,0.0033543251641238976,0.030999999999999996,0.002381210530057614,11,0,0.1080951869099454,0.0852915482286598,0.1080951869099454
User_74,0.146175,0.001859873637899228,0.03995,0.0014572081231450592,11,0,0.11052193381416989,0.09397209146998398,0.11052193381416989
User_81,0.153875,0.0016115805967401968,0.0222,0.0010580568015906057,11,0,0.11151450367475485,0.06800378478779014,0.11151450367475485
User_88,0.14757499999999998,0.0020031753506374174,0.031599999999999996,0.0014337681136400876,11,0,0.11237505528785377,0.08240052308723343,0.11237505528785377
User_84,0.1296,0.002933232512242947,0.029975,0.001820221773691718,11,0,0.11316848819444042,0.08168214981626956,0.11316848819444042
User_80,0.12589999999999998,0.003136976243942527,0.03585,0.0028644527999945155,11,0,0.11344097977415063,0.09385465714452176,0.11344097977415063
User_91,0.16444999999999999,0.0014477687815621723,0.022600000000000002,0.0006552084729822376,11,0,0.11445040488864433,0.06697371930869997,0.11445040488864433
User_92,0.15315,0.0022109350237236687,0.031525000000000004,0.0017430646496629254,11,0,0.11653343772302621,0.08351048665467468,0.11653343772302621
User_50,0.12755,0.0035911308462036034,0.02985,0.0023524584822313625,11,0,0.11815702554476565,0.08359775381567802,0.11815702554476565
User_98,0.17535,0.001919632791496281,0.0347,0.0011947335637449896,11,0,0.12316350731249764,0.08572492016478499,0.12316350731249764
User_69,0.16275000000000003,0.002537905496386977,0.027875,0.0015297530645709764,11,0,0.1234208016451101,0.07765582527803751,0.1234208016451101
User_73,0.18746666666666667,0.0014215409264264072,0.033466666666666665,0.0008423202333974234,11,0,0.12377230176355286,0.08264714531995573,0.12377230176355286
User_8,0.18794999999999998,0.0015750677493097263,0.055,0.0015042566131775953,11,0,0.12533565439430938,0.1148474579840553,0.12533565439430938
User_85,0.15542499999999998,0.0031732170478661003,0.0337,0.002472217366377323,11,0,0.12601909562343833,0.08936045888456168,0.12601909562343833
User_77,0.15487499999999998,0.0038600715797770272,0.036699999999999997,0.002598257846961387,11,0,0.13188733063876587,0.09397921497213738,0.13188733063876587
User_96,0.168275,0.00324697351826815,0.03095,0.0018999252744654473,11,0,0.1320080632908255,0.08333518681114899,0.1320080632908255
User_65,0.1966,0.002094433252557269,0.0358,0.0014635715184138044,11,0,0.1335363604481967,0.08829160130336124,0.1335363604481967
User_79,0.171125,0.0035507868749384474,0.0403,0.0023221795221862905,11,0,0.13588781839329708,0.09784572813515685,0.13588781839329708
User_55,0.1831,0.003185566608308906,0.03365,0.0020037034341798014,11,0,0.1376171782983905,0.087454187136393,0.1376171782983905
User_97,0.23083333333333333,0.0011891974172502273,0.0639,0.0005778243234250201,11,0,0.13971241466076176,0.12344973078894192,0.13971241466076176
User_59,0.22927499999999998,0.0018820790967584555,0.0431,0.0012070613018611792,11,0,0.14521556679283215,0.09732164608356803,0.14521556679283215
User_86,0.180425,0.0041941292514509594,0.0427,0.0027157108128102437,11,0,0.1454587772036672,0.10268871046793962,0.1454587772036672
User_9,0.22587500000000002,0.002250578182009551,0.029825,0.0011552423275450717,11,0,0.14707497046674103,0.07886785136417462,0.14707497046674103
User_72,0.239875,0.002142279248987314,0.041624999999999995,0.0010835941523993078,11,0,0.15192539514871573,0.0948095628776697,0.15192539514871573
User_20,0.16394999999999998,0.006262321889880804,0.038425,0.004510536828949209,11,0,0.1569770324951678,0.10385079534540387,0.1569770324951678
User_132,0.30073333333333335,0.0014726865639964055,0.04196666666666667,0.0007259307528131806,11,0,0.1712456190801406,0.09387651754152249,0.1712456190801406
User_22,0.2949,0.002430555481359683,0.08055000000000001,0.001615446915903641,11,0,0.17732616843726387,0.15040986140651788,0.17732616843726387
User_31,0.20437500000000003,0.00931073756946424,0.048850000000000005,0.006472609993726439,11,0,0.20081616324446394,0.12587848861500228,0.20081616324446394
User_34,0.156575,0.004064734799347239,0.033225,0.002415262487887997,16,0,0.21774296914781582,0.17181737961358157,0.21774296914781582
User_54,0.17125,0.005603036451636477,0.023024999999999997,0.002595745614866761,16,0,0.23748890054327648,0.1585022140428381,0.23748890054327648
User_13,0.16870000000000002,0.007122418117312099,0.0233,0.0038101470986918696,16,0,0.24991644195861484,0.1636432197474497,0.24991644195861484
User_32,0.22567500000000001,0.004595376740494601,0.026625000000000003,0.002875203654799806,16,0,0.2511378161675433,0.1645475642735511,0.2511378161675433
User_33,0.211075,0.0064532430863595116,0.027075,0.003379770579910943,16,0,0.2615675573627659,0.16714516004859684,0.2615675573627659
User_25,0.2113,0.007996721955951101,0.038450000000000005,0.004795217151993713,16,0,0.27536094678257833,0.18833502708678035,0.27536094678257833
User_45,0.22205,0.00774376508828184,0.03975,0.00448395815146339,16,0,0.27757823867248355,0.18890150481878892,0.27757823867248355
User_115,0.49382499999999996,0.0045704461913242496,0.11132500000000001,0.00705783595607945,11,0,0.27889783377031346,0.21406481610922534,0.27889783377031346
User_66,0.23942499999999997,0.007941233657823196,0.048275,0.0049977791988104585,16,0,0.286543701949438,0.20263695949438043,0.286543701949438
User_78,0.258375,0.006571926706964399,0.0442,0.003965459203112038,17,0,0.29892287775580406,0.20965248639956882,0.29892287775580406
User_102,0.422925,0.010667010609680422,0.12135,0.018042730434589746,11,0,0.30357914840548433,0.27093047269440146,0.30357914840548433
User_70,0.2405,0.010375418973684929,0.043725,0.006622239701891585,17,0,0.32526256081348526,0.21941945847271221,0.32526256081348526
User_17,0.22917500000000002,0.01242577856786976,0.0389,0.007837995916860477,17,0,0.3387604011965072,0.2175542634842005,0.3387604011965072
User_67,0.283575,0.009975508933720439,0.048725000000000004,0.006961780976698572,17,0,0.3395942688218211,0.2276251870212316,0.3395942688218211
User_43,0.26195,0.011000971882622938,0.0415,0.0067329104669130845,17,0,0.3397193369232482,0.21679456904788375,0.3397193369232482
User_12,0.259275,0.011545913412858572,0.039925,0.008295005495695083,17,0,0.34344581416489145,0.2207558511740785,0.34344581416489145
User_47,0.27755,0.010742738643027716,0.043925,0.006889618201892355,17,0,0.34390313125562044,0.2207430895674559,0.34390313125562044
User_11,0.2801,0.010758076860305998,0.053950000000000005,0.007908430799936245,17,0,0.3450978319300798,0.23852135241876365,0.3450978319300798
User_56,0.24975,0.012371722857209902,0.046250000000000006,0.008748957616650219,17,0,0.3468217102283777,0.23123192272452467,0.3468217102283777
User_7,0.26492499999999997,0.011744223249546503,0.040775,0.00728790508509605,17,0,0.3475514534890398,0.21797454652867826,0.3475514534890398
User_44,0.258325,0.012083856648030246,0.041124999999999995,0.007221785150085102,17,0,0.3478262575631,0.21819640368683918,0.3478262575631
User_58,0.2908,0.010571733252467217,0.05265,0.007213958116282514,17,0,0.3478856300447539,0.23401035257647826,0.3478856300447539
User_37,0.270675,0.011704533234786936,0.0434,0.0074497056501758065,17,0,0.3495861076005401,0.22221800267639974,0.3495861076005401
User_71,0.24627500000000002,0.013111889209365672,0.044024999999999995,0.008860628412691711,17,0,0.3519489150719871,0.22861095546356094,0.3519489150719871
User_24,0.32015000000000005,0.010261740389869873,0.055975,0.0064906539148114634,17,0,0.357317914301476,0.2357447551431685,0.357317914301476
User_19,0.259,0.01359606788126427,0.044324999999999996,0.008924200704660771,17,0,0.3615289183972672,0.22927273067594955,0.3615289183972672
User_40,0.25565,0.014005932336489262,0.057249999999999995,0.00933091066222165,17,0,0.3637762389775969,0.24863724047536326,0.3637762389775969
User_63,0.28285,0.01275536621563894,0.04145,0.00785180277076082,17,0,0.3639674434043646,0.22111417155080995,0.3639674434043646
User_51,0.261725,0.014220891461948111,0.056725,0.009704728233611376,17,0,0.36820608446003744,0.24938159526597997,0.36820608446003744
User_52,0.28455,0.01420172173205904,0.038725,0.009545434988959631,17,0,0.37751106475418994,0.22401032041717892,0.37751106475418994
User_38,0.290025,0.014311685892785371,0.046825000000000006,0.009659564951057976,17,0,0.38075989778509245,0.2355938769544368,0.38075989778509245
User_23,0.26415,0.016813399908294484,0.05165,0.01184005308468351,17,0,0.39222397286587496,0.25077928560987883,0.39222397286587496
User_125,0.9017999999999999,0.002179946052847267,0.019525,0.0013843139317581052,9,0,0.3937052125079022,0.032272437851609506,0.3937052125079022
User_57,0.28945,0.015838547187217892,0.060524999999999995,0.011159150853504341,17,0,0.39407369224772004,0.2603101674999032,0.39407369224772004
User_35,0.278825,0.017272194219383044,0.05045000000000001,0.010631481040532121,17,0,0.4023881489828116,0.24438944704596108,0.4023881489828116
User_122,0.924075,0.0033497768971638303,0.034574999999999995,0.0024877472386468057,9,0,0.41333549847147877,0.05729099020001244,0.41333549847147877
User_100,0.5260250000000001,0.01911515195829383,0.13245,0.030721715939840154,11,0,0.4213641794037961,0.3359183429500955,0.4213641794037961
User_117,0.927025,0.00454785819875328,0.009075,0.00153518511436215,9,0,0.4251943277916273,0.018497431318362047,0.4251943277916273
User_120,0.9226000000000001,0.0049602913971721185,0.059,0.005921335653299677,9,0,0.42701819381877976,0.10433732173137249,0.42701819381877976
User_121,0.93695,0.004458331999034227,0.0115,0.0012062328631869536,9,0,0.42851976293631205,0.02054117287592185,0.42851976293631205
User_119,0.942175,0.004269082256322684,0.00805,0.0012117750866651408,9,0,0.429008979829571,0.015819826706349256,0.429008979829571
User_126,0.95955,0.00354956317398464,0.0172,0.000659327599405409,9,0,0.4298352198345798,0.026232585356851225,0.4298352198345798
User_39,0.27857499999999996,0.020873559705638815,0.042675,0.013055615010222999,17,0,0.43425024937275525,0.24320788093860424,0.43425024937275525
User_113,0.9279250000000001,0.005527351793441137,0.004,0.001358039024710404,9,0,0.43426196529486494,0.010825513039501626,0.43426196529486494
User_118,0.963575,0.004827681146756607,0.004375,0.0007830145458173438,9,0,0.44285071304796914,0.009085795265947346,0.44285071304796914
User_133,0.9571,0.005319349364554939,0.031275000000000004,0.0036418015540325564,9,0,0.44452687505185,0.05728037792574345,0.44452687505185
User_123,0.9463,0.005829100614226713,0.0069,0.001456120804826366,9,0,0.4445681455042577,0.015197133257118814,0.4445681455042577
User_116,0.949125,0.006323235191045191,0.009525,0.001993255095443502,9,0,0.45012682222079936,0.020912664116611843,0.45012682222079936
User_112,0.9629249999999999,0.005766325910507342,0.00615,0.001326703295860422,9,0,0.4509123373070001,0.013658447324286366,0.4509123373070001
User_26,0.282325,0.023436897905245155,0.053200000000000004,0.014517649562952942,17,0,0.4585592563941072,0.2634118823353986,0.4585592563941072
User_46,0.8186249999999999,0.004786013003085454,0.0055249999999999995,0.0015128715441755818,17,0,0.5156424418604335,0.14686268621698997,0.5156424418604335
User_15,0.8134999999999999,0.00518052143629161,0.0046,0.0020166568923092217,17,0,0.5170166223306384,0.1475668574459031,0.5170166223306384
User_28,0.763125,0.008048174947244146,0.008575,0.0027135627343083113,17,0,0.5215583337164804,0.1557650080743036,0.5215583337164804
User_2,0.8243250000000001,0.005290608734202814,0.0069500000000000004,0.0016884485558962333,17,0,0.5224874444746539,0.14951040616846978,0.5224874444746539
User_60,0.82485,0.005582615529598877,0.009375,0.002142550841593243,17,0,0.5252972482129734,0.15462532066690288,0.5252972482129734
User_18,0.82285,0.005991817022626175,0.008475,0.0020444245286201264,17,0,0.5280990973564558,0.15300313912516517,0.5280990973564558
User_36,0.790575,0.00786098180626567,0.0071,0.002770019502696984,17,0,0.5312918643049935,0.15395859406754647,0.5312918643049935
User_16,0.8766999999999999,0.003841240628664384,0.0068000000000000005,0.0013268925432967024,17,0,0.5313647391144091,0.14788614722812962,0.5313647391144091
User_4,0.835,0.006015680512429865,0.008775,0.00245544147786665,17,0,0.5333546281621789,0.15502760694660722,0.5333546281621789
User_48,0.870125,0.004532504748941227,0.008875000000000001,0.0012644826903225816,17,0,0.5347710111680694,0.1504940969865919,0.5347710111680694
User_90,0.563275,0.030176198467153727,0.159375,0.05117988735168301,11,0,0.5350057700911655,0.4531728241546561,0.5350057700911655
User_21,0.882125,0.004483499325861604,0.005475,0.0012385426536507447,17,0,0.5393174861388468,0.14571801639745532,0.5393174861388468
User_3,0.856375,0.006599485912814838,0.004475000000000001,0.0019010467757397576,17,0,0.5474097174671042,0.1469415788561459,0.5474097174671042
User_61,0.8794500000000001,0.00563280009135687,0.0033749999999999995,0.001307609872854154,17,0,0.5484082828914004,0.1431018069436099,0.5484082828914004
User_49,0.81915,0.00904006569064224,0.007725,0.0034612060404040613,17,0,0.5536195415420498,0.1575287110059705,0.5536195415420498
User_41,0.8819250000000001,0.0065765167066105384,0.0036750000000000003,0.0016540059365708353,17,0,0.5578121775498203,0.14487282892480788,0.5578121775498203
User_42,0.8889750000000001,0.006483931248849037,0.004399999999999999,0.0011689818661489747,17,0,0.559916986357931,0.1439672788853003,0.559916986357931
User_14,0.29805000000000004,0.03451867606010672,0.052875000000000005,0.02159437611942864,17,0,0.5634493874308208,0.2907202903820373,0.5634493874308208
User_10,0.8490500000000001,0.009258297212417726,0.0072250000000000005,0.003015408914680206,17,0,0.5679686854053817,0.15509287253099366,0.5679686854053817
User_5,0.8614,0.009357646187956944,0.007925,0.0033180813590689144,17,0,0.5739772529020281,0.1572423312990438,0.5739772529020281
User_27,0.8798250000000001,0.00992847840287988,0.020825,0.005507091328294491,19,0,0.6200259186839674,0.21689606012927432,0.6200259186839674
User_95,0.468875,0.012683595284237535,0.220575,0.029778560496055668,21,0,0.5072199101053909,0.6200407517632007,0.6200407517632007
User_53,0.962775,0.006238158581949842,0.011125,0.002314447770366887,19,0,0.621704743680759,0.19103875267812628,0.621704743680759
User_109,0.40242500000000003,0.020106878277235486,0.191375,0.04181225479072865,21,0,0.5455245253915089,0.6270930539449397,0.6270930539449397
User_83,0.505425,0.01442666413370295,0.23557499999999998,0.03371134899231125,21,0,0.5378641312059234,0.6560874142382227,0.6560874142382227
User_29,0.4416,0.026051801383013946,0.194975,0.05748401457191962,21,0,0.6145542841970626,0.6935076612063706,0.6935076612063706
User_99,0.44685,0.020798314600978137,0.237975,0.04658457438020497,21,0,0.5701034854150199,0.7098762835011847,0.7098762835011847
User_30,0.49355,0.024436318963494137,0.24265,0.055154591081307734,21,0,0.6217807144524943,0.749915471855455,0.749915471855455
User_87,0.489625,0.025304721198561062,0.2344,0.058349173209188754,21,0,0.6278593423604272,0.7511026027725425,0.7511026027725425
User_68,0.49497499999999994,0.027807822184925005,0.2546,0.06454563839111074,21,0,0.6522978744307427,0.8031764954153477,0.8031764954153477
User_75,0.5925750000000001,0.045065118439007304,0.29095,0.10198768378697005,21,0,0.8459901927717095,1.0,1.0
