policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,atomic_activity_mode,drl_assignments,drl_postponements,unpermitted_activities,still_queued_at_end,missing_resource_starts,automatic_atomic_transitions,assigned_atomic_starts,max_resource_occupation,arrivals,completed_cases,completion_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours,staffing_scenario
random,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,9,0,54036,0,0.2819,4348,3174,0.7299908003679852,0.7001187260512899,3.2057628304565933,0.043727559794725125,0.040666287878787885,0.043727559794725125,0.040666287878787885,0.00011160892765155477,0.9776908923643054,0.149149711712596,0.5223091076356946,0.8219493476592479,0.13317927511554367,0.029722538488909253,0.13317927511554367,0.029722538488909253,0.19086973924129447,0.8091302607587055,1.0,0.0,1.0,11,0,0,306,0,0,132,11,194.55485032500002,baseline
random,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,18,0,54084,0,0.3067,4309,3161,0.7335808772336969,0.6945768038661582,3.53124796068287,0.04262130087271942,0.03842421199730863,0.04262130087271942,0.03842421199730863,9.89223911209332e-05,0.9735437456486423,0.13707083695937203,0.5182176839173822,0.8085755292429135,0.12882578843244502,0.02353123529728347,0.12882578843244502,0.02353123529728347,0.19629474365480368,0.8037052563451963,1.0,0.0,1.0,11,0,0,313,0,0,139,4,68.23410564555553,baseline
random,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,18,0,57053,0,0.2639,4541,3383,0.7449900902884827,0.711949647700923,3.627719005927048,0.04230865627316804,0.038880374248162174,0.04230865627316804,0.038880374248162174,9.693187404286311e-05,0.9799603611539308,0.12349779887253029,0.5364457168024664,0.8355555555555556,0.12013554875382597,0.02365765411486846,0.12013554875382597,0.02365765411486846,0.19514340771357555,0.8048565922864245,1.0,0.0,1.0,12,0,0,318,0,0,134,9,91.03959413472224,baseline
random,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,13,0,52638,0,0.2668,4199,3161,0.7527982853060252,0.68475355916901,2.742222376423611,0.03838235099924498,0.03527961285647741,0.03838235099924498,0.03527961285647741,7.938696489272921e-05,0.9749940462014766,0.12338525515092533,0.5484639199809478,0.7879586077140169,0.1446579366050667,0.024168692272830843,0.1446579366050667,0.024168692272830843,0.1925348434700756,0.8074651565299243,0.9999999999999999,0.0,1.0,10,0,0,339,0,0,139,4,128.29418070916668,baseline
random,4000001,"User_128,User_136",1,4000043,mdn,0.0,automatic,0,0,0,9,0,54036,0,0.2819,4348,3174,0.7299908003679852,0.7001187260512899,3.2057628304565933,0.04440029148387475,0.04095195266272189,0.04440029148387475,0.04095195266272189,0.00011160892765155477,0.9776908923643054,0.149149711712596,0.5223091076356946,0.8219493476592479,0.13317927511554367,0.029920677472713497,0.13317927511554367,0.029920677472713497,0.19086973924129447,0.8091302607587055,1.0,0.0,1.0,11,0,0,306,0,0,130,11,194.55485032499996,remove_low
random,4000002,"User_128,User_136",1,4000044,mdn,0.0,automatic,0,0,0,18,0,54084,0,0.3067,4309,3161,0.7335808772336969,0.6945768038661582,3.53124796068287,0.043243509644583934,0.03869682987905589,0.043243509644583934,0.03869682987905589,9.89223911209332e-05,0.9735437456486423,0.13707083695937203,0.5182176839173822,0.8085755292429135,0.12882578843244502,0.023686934843512336,0.12882578843244502,0.023686934843512336,0.19629474365480368,0.8037052563451963,1.0,0.0,1.0,11,0,0,313,0,0,137,4,68.23410564555553,remove_low
random,4000003,"User_128,User_136",1,4000045,mdn,0.0,automatic,0,0,0,18,0,57053,0,0.2639,4541,3383,0.7449900902884827,0.711949647700923,3.627719005927048,0.042626766470710654,0.0390230199559048,0.042626766470710654,0.0390230199559048,9.693187404286311e-05,0.9799603611539308,0.12349779887253029,0.5364457168024664,0.8355555555555556,0.12013554875382597,0.023812839232586466,0.12013554875382597,0.023812839232586466,0.19514340771357555,0.8048565922864245,1.0,0.0,1.0,12,0,0,318,0,0,133,8,91.03959413472224,remove_low
random,4000004,"User_128,User_136",1,4000046,mdn,0.0,automatic,0,0,0,13,0,52638,0,0.2668,4199,3161,0.7527982853060252,0.68475355916901,2.742222376423611,0.038942677291204764,0.03547100005327935,0.038942677291204764,0.03547100005327935,7.938696489272921e-05,0.9749940462014766,0.12338525515092533,0.5484639199809478,0.7879586077140169,0.1446579366050667,0.024328505949452472,0.1446579366050667,0.024328505949452472,0.1925348434700756,0.8074651565299243,0.9999999999999999,0.0,1.0,10,0,0,339,0,0,137,4,128.29418070916668,remove_low
random,4000001,"User_68,User_75",1,4000043,mdn,0.0,automatic,0,0,0,27,0,53936,0,0.3292,4348,3166,0.7281508739650414,0.7203077693853129,3.5640298319241897,0.047730920776042025,0.047459289940828396,0.047730920776042025,0.047459289940828396,0.00011160892765155477,0.9776908923643054,0.14917768337257611,0.5223091076356946,0.830784123910939,0.13763151455835576,0.029392678641209653,0.13763151455835576,0.029392678641209653,0.1899565104263465,0.8100434895736535,0.9999999999999999,0.0,1.0,11,0,0,307,0,0,130,11,184.18521079277778,remove_high
random,4000002,"User_68,User_75",1,4000044,mdn,0.0,automatic,0,0,0,25,0,54018,0,0.2763,4309,3153,0.73172429798097,0.7284141530358947,3.7294171059074066,0.04666535994155491,0.04588234855346582,0.04666535994155491,0.04588234855346582,9.89223911209332e-05,0.9735437456486423,0.13738996748752402,0.5182176839173822,0.8243145743145743,0.13326325624854007,0.023276415683933866,0.13326325624854007,0.023276415683933866,0.19584020983142755,0.8041597901685724,0.9999999999999999,0.0,1.0,11,0,0,314,0,0,137,4,77.28977834083332,remove_high
