case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource
case_000001,__PROCESS_START__,2016-01-01T00:04:54.452042,start,
case_000001,A_Create Application,2016-01-01T00:04:54.452042,start,
case_000001,A_Create Application,2016-01-01T00:06:56.859277,complete,
case_000001,A_Submitted,2016-01-01T00:06:56.859277,start,
case_000001,A_Submitted,2016-01-01T00:07:16.156721,complete,
case_000001,W_Handle leads,2016-01-01T00:07:16.156721,start,
case_000001,W_Handle leads,2016-01-01T00:09:00.870970,complete,
case_000001,W_Complete application,2016-01-01T00:09:00.870970,start,
case_000002,__PROCESS_START__,2016-01-01T00:09:36.820556,start,
case_000002,A_Create Application,2016-01-01T00:09:36.820556,start,
case_000002,A_Create Application,2016-01-01T00:09:47.734845,complete,
case_000002,A_Submitted,2016-01-01T00:09:47.734845,start,
case_000002,A_Submitted,2016-01-01T00:09:49.549855,complete,
case_000002,W_Handle leads,2016-01-01T00:09:49.549855,start,
case_000001,W_Complete application,2016-01-01T00:10:17.607323,complete,
case_000001,W_Complete application,2016-01-01T00:10:17.607323,start,
case_000002,W_Handle leads,2016-01-01T00:11:18.363463,complete,
case_000002,W_Complete application,2016-01-01T00:11:18.363463,start,
case_000003,__PROCESS_START__,2016-01-01T00:14:45.647187,start,
case_000003,A_Create Application,2016-01-01T00:14:45.647187,start,
case_000003,A_Create Application,2016-01-01T00:16:32.424232,complete,
case_000003,W_Complete application,2016-01-01T00:16:32.424232,start,
case_000002,W_Complete application,2016-01-01T00:19:12.177123,complete,
case_000002,W_Complete application,2016-01-01T00:19:12.177123,start,
case_000004,__PROCESS_START__,2016-01-01T00:31:33.484100,start,
case_000004,A_Create Application,2016-01-01T00:31:33.484100,start,
case_000004,A_Create Application,2016-01-01T00:32:23.391510,complete,
case_000004,A_Submitted,2016-01-01T00:32:23.391510,start,
case_000004,A_Submitted,2016-01-01T00:35:32.482869,complete,
case_000004,W_Handle leads,2016-01-01T00:35:32.482869,start,
case_000004,W_Handle leads,2016-01-01T00:35:45.361381,complete,
case_000004,W_Handle leads,2016-01-01T00:35:45.361381,start,
case_000005,__PROCESS_START__,2016-01-01T00:36:35.088152,start,
case_000005,A_Create Application,2016-01-01T00:36:35.088152,start,
case_000006,__PROCESS_START__,2016-01-01T00:37:16.231639,start,
case_000006,A_Create Application,2016-01-01T00:37:16.231639,start,
case_000005,A_Create Application,2016-01-01T00:38:26.166088,complete,
case_000005,W_Complete application,2016-01-01T00:38:26.166088,start,
case_000003,W_Complete application,2016-01-01T00:39:31.976067,complete,
case_000003,W_Call after offers,2016-01-01T00:39:31.976067,start,
case_000006,A_Create Application,2016-01-01T00:40:33.719231,complete,
case_000006,A_Submitted,2016-01-01T00:40:33.719231,start,
