case:concept:name,concept:name,time:timestamp,lifecycle:transition,org:resource
case_000001,__PROCESS_START__,2024-01-01T02:26:53.320882,start,
case_000001,A_Create Application,2024-01-01T02:26:53.320882,start,resource_stub
case_000002,__PROCESS_START__,2024-01-01T02:30:32.162051,start,
case_000002,A_Create Application,2024-01-01T02:30:32.162051,start,resource_stub
case_000002,A_Create Application,2024-01-01T02:30:39.760703,complete,resource_stub
case_000002,A_Submitted,2024-01-01T02:30:39.760703,start,resource_stub
case_000002,A_Submitted,2024-01-01T02:31:18.355591,complete,resource_stub
case_000002,A_Concept,2024-01-01T02:31:18.355591,start,resource_stub
case_000001,A_Create Application,2024-01-01T02:31:59.338968,complete,resource_stub
case_000001,A_Submitted,2024-01-01T02:31:59.338968,start,resource_stub
case_000001,A_Submitted,2024-01-01T02:34:39.370089,complete,resource_stub
case_000001,A_Concept,2024-01-01T02:34:39.370089,start,resource_stub
case_000002,A_Concept,2024-01-01T02:46:27.665859,complete,resource_stub
case_000002,A_Accepted,2024-01-01T02:46:27.665859,start,resource_stub
case_000003,__PROCESS_START__,2024-01-01T03:16:50.993965,start,
case_000003,A_Create Application,2024-01-01T03:16:50.993965,start,resource_stub
case_000003,A_Create Application,2024-01-01T03:17:18.279686,complete,resource_stub
case_000003,A_Submitted,2024-01-01T03:17:18.279686,start,resource_stub
case_000003,A_Submitted,2024-01-01T03:18:24.045226,complete,resource_stub
case_000003,A_Concept,2024-01-01T03:18:24.045226,start,resource_stub
case_000003,A_Concept,2024-01-01T03:20:12.945863,complete,resource_stub
case_000003,A_Accepted,2024-01-01T03:20:12.945863,start,resource_stub
case_000001,A_Concept,2024-01-01T03:42:24.392921,complete,resource_stub
case_000001,A_Accepted,2024-01-01T03:42:24.392921,start,resource_stub
case_000003,A_Accepted,2024-01-01T03:49:49.306074,complete,resource_stub
case_000003,O_Create Offer,2024-01-01T03:49:49.306074,start,resource_stub
case_000003,O_Create Offer,2024-01-01T03:50:37.716001,complete,resource_stub
case_000003,O_Sent (mail and online),2024-01-01T03:50:37.716001,start,resource_stub
case_000003,O_Sent (mail and online),2024-01-01T03:52:50.731002,complete,resource_stub
case_000003,A_Complete,2024-01-01T03:52:50.731002,start,resource_stub
case_000004,__PROCESS_START__,2024-01-01T03:53:13.338609,start,
case_000004,A_Create Application,2024-01-01T03:53:13.338609,start,resource_stub
case_000004,A_Create Application,2024-01-01T03:57:09.537385,complete,resource_stub
case_000004,A_Submitted,2024-01-01T03:57:09.537385,start,resource_stub
case_000004,A_Submitted,2024-01-01T03:57:39.420556,complete,resource_stub
case_000004,A_Concept,2024-01-01T03:57:39.420556,start,resource_stub
case_000003,A_Complete,2024-01-01T03:58:05.578603,complete,resource_stub
case_000004,A_Concept,2024-01-01T04:51:02.731898,complete,resource_stub
case_000004,A_Accepted,2024-01-01T04:51:02.731898,start,resource_stub
case_000001,A_Accepted,2024-01-01T05:06:52.584721,complete,resource_stub
case_000001,O_Create Offer,2024-01-01T05:06:52.584721,start,resource_stub
case_000001,O_Create Offer,2024-01-01T05:07:04.320665,complete,resource_stub
case_000001,O_Sent (mail and online),2024-01-01T05:07:04.320665,start,resource_stub
case_000001,O_Sent (mail and online),2024-01-01T05:23:27.700182,complete,resource_stub
case_000001,A_Complete,2024-01-01T05:23:27.700182,start,resource_stub
case_000001,A_Complete,2024-01-01T05:29:27.037164,complete,resource_stub
case_000005,__PROCESS_START__,2024-01-01T07:05:15.579302,start,
case_000005,A_Create Application,2024-01-01T07:05:15.579302,start,resource_stub
case_000005,A_Create Application,2024-01-01T07:07:20.347828,complete,resource_stub
case_000005,A_Submitted,2024-01-01T07:07:20.347828,start,resource_stub
case_000005,A_Submitted,2024-01-01T07:07:40.626180,complete,resource_stub
case_000005,A_Concept,2024-01-01T07:07:40.626180,start,resource_stub
case_000002,A_Accepted,2024-01-01T07:13:44.140176,complete,resource_stub
